,Organism,Sample_type,Sample_source_name,subtype,Sample_description,Normal
GSM1031553,Homo sapiens,RNA,Control subject PBMC,Control,Control subject PBMC,1
GSM1031554,Homo sapiens,RNA,Control subject PBMC,Control,Control subject PBMC,1
GSM1031555,Homo sapiens,RNA,Control subject PBMC,Control,Control subject PBMC,1
GSM1031564,Homo sapiens,RNA,Control subject PBMC,Control,Control subject PBMC,1
GSM1031567,Homo sapiens,RNA,Control subject PBMC,Control,Control subject PBMC,1
GSM1031572,Homo sapiens,RNA,Control subject PBMC,Control,Control subject PBMC,1
GSM1031574,Homo sapiens,RNA,Control subject PBMC,Control,Control subject PBMC,1
GSM1031580,Homo sapiens,RNA,Control subject PBMC,Control,Control subject PBMC,1
GSM1031584,Homo sapiens,RNA,Control subject PBMC,Control,Control subject PBMC,1
GSM1031597,Homo sapiens,RNA,Control subject PBMC,Control,Control subject PBMC,1
GSM1031613,Homo sapiens,RNA,Control subject PBMC,Control,Control subject PBMC,1
GSM1031615,Homo sapiens,RNA,Control subject PBMC,Control,Control subject PBMC,1
GSM1031616,Homo sapiens,RNA,Control subject PBMC,Control,Control subject PBMC,1
GSM1031617,Homo sapiens,RNA,Control subject PBMC,Control,Control subject PBMC,1
GSM1031618,Homo sapiens,RNA,Control subject PBMC,Control,Control subject PBMC,1
GSM1031620,Homo sapiens,RNA,Control subject PBMC,Control,Control subject PBMC,1
GSM1031621,Homo sapiens,RNA,Control subject PBMC,Control,Control subject PBMC,1
GSM1031623,Homo sapiens,RNA,Control subject PBMC,Control,Control subject PBMC,1
GSM1031624,Homo sapiens,RNA,Control subject PBMC,Control,Control subject PBMC,1
GSM1031626,Homo sapiens,RNA,Control subject PBMC,Control,Control subject PBMC,1
GSM1031627,Homo sapiens,RNA,Control subject PBMC,Control,Control subject PBMC,1
GSM1031628,Homo sapiens,RNA,Control subject PBMC,Control,Control subject PBMC,1
GSM1031631,Homo sapiens,RNA,Control subject PBMC,Control,Control subject PBMC,1
GSM1031635,Homo sapiens,RNA,Control subject PBMC,Control,Control subject PBMC,1
GSM1031637,Homo sapiens,RNA,Control subject PBMC,Control,Control subject PBMC,1
GSM1031641,Homo sapiens,RNA,Control subject PBMC,Control,Control subject PBMC,1
GSM1031643,Homo sapiens,RNA,Control subject PBMC,Control,Control subject PBMC,1
GSM1031644,Homo sapiens,RNA,Control subject PBMC,Control,Control subject PBMC,1
GSM1031645,Homo sapiens,RNA,Control subject PBMC,Control,Control subject PBMC,1
GSM1031646,Homo sapiens,RNA,Control subject PBMC,Control,Control subject PBMC,1
GSM1031651,Homo sapiens,RNA,Control subject PBMC,Control,Control subject PBMC,1
GSM1031652,Homo sapiens,RNA,Control subject PBMC,Control,Control subject PBMC,1
GSM1031653,Homo sapiens,RNA,Control subject PBMC,Control,Control subject PBMC,1
