,Organism,Sample_type,Sample_source_name,subtype,Sample_description,Normal
GSM870903,Homo sapiens,RNA,peripheral blood sample,asthmatic,child-2,0
GSM870904,Homo sapiens,RNA,peripheral blood sample,asthmatic,child-5,0
GSM870905,Homo sapiens,RNA,peripheral blood sample,asthmatic,child-7,0
GSM870906,Homo sapiens,RNA,peripheral blood sample,asthmatic,child-8,0
GSM870907,Homo sapiens,RNA,peripheral blood sample,asthmatic,child-9,0
GSM870910,Homo sapiens,RNA,peripheral blood sample,asthmatic,child-12,0
GSM870911,Homo sapiens,RNA,peripheral blood sample,asthmatic,child-13,0
GSM870913,Homo sapiens,RNA,peripheral blood sample,asthmatic,child-20,0
GSM870914,Homo sapiens,RNA,peripheral blood sample,asthmatic,child-21,0
GSM870917,Homo sapiens,RNA,peripheral blood sample,asthmatic,child-24,0
GSM870918,Homo sapiens,RNA,peripheral blood sample,asthmatic,child-26,0
GSM870921,Homo sapiens,RNA,peripheral blood sample,asthmatic,child-29,0
GSM870922,Homo sapiens,RNA,peripheral blood sample,asthmatic,child-30,0
GSM870923,Homo sapiens,RNA,peripheral blood sample,asthmatic,child-35,0
GSM870926,Homo sapiens,RNA,peripheral blood sample,asthmatic,child-38,0
GSM870930,Homo sapiens,RNA,peripheral blood sample,asthmatic,child-45,0
GSM870932,Homo sapiens,RNA,peripheral blood sample,asthmatic,child-48,0
GSM870934,Homo sapiens,RNA,peripheral blood sample,asthmatic,child-50,0
GSM870977,Homo sapiens,RNA,peripheral blood sample,asthmatic,child-110,0
GSM870982,Homo sapiens,RNA,peripheral blood sample,asthmatic,child-117,0
GSM870984,Homo sapiens,RNA,peripheral blood sample,asthmatic,child-120,0
GSM870988,Homo sapiens,RNA,peripheral blood sample,asthmatic,child-124,0
GSM870993,Homo sapiens,RNA,peripheral blood sample,asthmatic,child-134,0
GSM870999,Homo sapiens,RNA,peripheral blood sample,asthmatic,child-142,0
GSM871004,Homo sapiens,RNA,peripheral blood sample,asthmatic,child-158,0
GSM871005,Homo sapiens,RNA,peripheral blood sample,asthmatic,child-159,0
GSM871023,Homo sapiens,RNA,peripheral blood sample,asthmatic,child-187,0
GSM871024,Homo sapiens,RNA,peripheral blood sample,asthmatic,child-188,0
GSM870915,Homo sapiens,RNA,peripheral blood sample,asthmatic,child-22,0
GSM870919,Homo sapiens,RNA,peripheral blood sample,asthmatic,child-27,0
GSM870924,Homo sapiens,RNA,peripheral blood sample,asthmatic,child-36,0
GSM870927,Homo sapiens,RNA,peripheral blood sample,asthmatic,child-40,0
GSM870936,Homo sapiens,RNA,peripheral blood sample,asthmatic,child-52,0
GSM870937,Homo sapiens,RNA,peripheral blood sample,asthmatic,child-53,0
GSM870940,Homo sapiens,RNA,peripheral blood sample,asthmatic,child-59,0
GSM870941,Homo sapiens,RNA,peripheral blood sample,asthmatic,child-60,0
GSM870945,Homo sapiens,RNA,peripheral blood sample,asthmatic,child-68,0
GSM870948,Homo sapiens,RNA,peripheral blood sample,asthmatic,child-71,0
GSM870951,Homo sapiens,RNA,peripheral blood sample,asthmatic,child-74,0
GSM870954,Homo sapiens,RNA,peripheral blood sample,asthmatic,child-77,0
GSM870958,Homo sapiens,RNA,peripheral blood sample,asthmatic,child-82,0
GSM870959,Homo sapiens,RNA,peripheral blood sample,asthmatic,child-83,0
GSM870963,Homo sapiens,RNA,peripheral blood sample,asthmatic,child-87,0
GSM870969,Homo sapiens,RNA,peripheral blood sample,asthmatic,child-95,0
GSM870973,Homo sapiens,RNA,peripheral blood sample,asthmatic,child-99,0
GSM870976,Homo sapiens,RNA,peripheral blood sample,asthmatic,child-109,0
GSM870987,Homo sapiens,RNA,peripheral blood sample,asthmatic,child-123,0
GSM870989,Homo sapiens,RNA,peripheral blood sample,asthmatic,child-125,0
GSM870998,Homo sapiens,RNA,peripheral blood sample,asthmatic,child-141,0
GSM871001,Homo sapiens,RNA,peripheral blood sample,asthmatic,child-147,0
GSM871002,Homo sapiens,RNA,peripheral blood sample,asthmatic,child-150,0
GSM871008,Homo sapiens,RNA,peripheral blood sample,asthmatic,child-164,0
GSM871009,Homo sapiens,RNA,peripheral blood sample,asthmatic,child-166,0
GSM871010,Homo sapiens,RNA,peripheral blood sample,asthmatic,child-168,0
GSM871011,Homo sapiens,RNA,peripheral blood sample,asthmatic,child-169,0
GSM871012,Homo sapiens,RNA,peripheral blood sample,asthmatic,child-170,0
GSM871019,Homo sapiens,RNA,peripheral blood sample,asthmatic,child-178,0
GSM871029,Homo sapiens,RNA,peripheral blood sample,asthmatic,child-194,0
GSM871030,Homo sapiens,RNA,peripheral blood sample,asthmatic,child-195,0
GSM871031,Homo sapiens,RNA,peripheral blood sample,asthmatic,child-196,0
GSM870916,Homo sapiens,RNA,peripheral blood sample,non-asthmatic,child-23,1
GSM870920,Homo sapiens,RNA,peripheral blood sample,non-asthmatic,child-28,1
GSM870925,Homo sapiens,RNA,peripheral blood sample,non-asthmatic,child-37,1
GSM870928,Homo sapiens,RNA,peripheral blood sample,non-asthmatic,child-41,1
GSM870935,Homo sapiens,RNA,peripheral blood sample,non-asthmatic,child-51,1
GSM870938,Homo sapiens,RNA,peripheral blood sample,non-asthmatic,child-57,1
GSM870939,Homo sapiens,RNA,peripheral blood sample,non-asthmatic,child-58,1
GSM870943,Homo sapiens,RNA,peripheral blood sample,non-asthmatic,child-64,1
GSM870946,Homo sapiens,RNA,peripheral blood sample,non-asthmatic,child-69,1
GSM870949,Homo sapiens,RNA,peripheral blood sample,non-asthmatic,child-72,1
GSM870952,Homo sapiens,RNA,peripheral blood sample,non-asthmatic,child-75,1
GSM870956,Homo sapiens,RNA,peripheral blood sample,non-asthmatic,child-80,1
GSM870957,Homo sapiens,RNA,peripheral blood sample,non-asthmatic,child-81,1
GSM870960,Homo sapiens,RNA,peripheral blood sample,non-asthmatic,child-84,1
GSM870965,Homo sapiens,RNA,peripheral blood sample,non-asthmatic,child-89,1
GSM870968,Homo sapiens,RNA,peripheral blood sample,non-asthmatic,child-94,1
GSM870972,Homo sapiens,RNA,peripheral blood sample,non-asthmatic,child-98,1
GSM870979,Homo sapiens,RNA,peripheral blood sample,non-asthmatic,child-112,1
GSM870983,Homo sapiens,RNA,peripheral blood sample,non-asthmatic,child-119,1
GSM870994,Homo sapiens,RNA,peripheral blood sample,non-asthmatic,child-135,1
GSM870996,Homo sapiens,RNA,peripheral blood sample,non-asthmatic,child-137,1
GSM870997,Homo sapiens,RNA,peripheral blood sample,non-asthmatic,child-140,1
GSM871000,Homo sapiens,RNA,peripheral blood sample,non-asthmatic,child-144,1
GSM871003,Homo sapiens,RNA,peripheral blood sample,non-asthmatic,child-157,1
GSM871006,Homo sapiens,RNA,peripheral blood sample,non-asthmatic,child-160,1
GSM871007,Homo sapiens,RNA,peripheral blood sample,non-asthmatic,child-163,1
GSM871013,Homo sapiens,RNA,peripheral blood sample,non-asthmatic,child-171,1
GSM871017,Homo sapiens,RNA,peripheral blood sample,non-asthmatic,child-175,1
GSM871022,Homo sapiens,RNA,peripheral blood sample,non-asthmatic,child-186,1
GSM870902,Homo sapiens,RNA,peripheral blood sample,non-asthmatic,child-1,1
GSM870908,Homo sapiens,RNA,peripheral blood sample,non-asthmatic,child-10,1
GSM870909,Homo sapiens,RNA,peripheral blood sample,non-asthmatic,child-11,1
GSM870931,Homo sapiens,RNA,peripheral blood sample,non-asthmatic,child-46,1
GSM870933,Homo sapiens,RNA,peripheral blood sample,non-asthmatic,child-49,1
GSM870942,Homo sapiens,RNA,peripheral blood sample,non-asthmatic,child-63,1
GSM870944,Homo sapiens,RNA,peripheral blood sample,non-asthmatic,child-67,1
GSM870947,Homo sapiens,RNA,peripheral blood sample,non-asthmatic,child-70,1
GSM870950,Homo sapiens,RNA,peripheral blood sample,non-asthmatic,child-73,1
GSM870953,Homo sapiens,RNA,peripheral blood sample,non-asthmatic,child-76,1
GSM870955,Homo sapiens,RNA,peripheral blood sample,non-asthmatic,child-79,1
GSM870961,Homo sapiens,RNA,peripheral blood sample,non-asthmatic,child-85,1
GSM870964,Homo sapiens,RNA,peripheral blood sample,non-asthmatic,child-88,1
GSM870967,Homo sapiens,RNA,peripheral blood sample,non-asthmatic,child-93,1
GSM870970,Homo sapiens,RNA,peripheral blood sample,non-asthmatic,child-96,1
GSM870974,Homo sapiens,RNA,peripheral blood sample,non-asthmatic,child-102,1
GSM870975,Homo sapiens,RNA,peripheral blood sample,non-asthmatic,child-103,1
GSM870978,Homo sapiens,RNA,peripheral blood sample,non-asthmatic,child-111,1
GSM870980,Homo sapiens,RNA,peripheral blood sample,non-asthmatic,child-113,1
GSM870981,Homo sapiens,RNA,peripheral blood sample,non-asthmatic,child-114,1
GSM870985,Homo sapiens,RNA,peripheral blood sample,non-asthmatic,child-121,1
GSM870986,Homo sapiens,RNA,peripheral blood sample,non-asthmatic,child-122,1
GSM870990,Homo sapiens,RNA,peripheral blood sample,non-asthmatic,child-128,1
GSM870991,Homo sapiens,RNA,peripheral blood sample,non-asthmatic,child-131,1
GSM870992,Homo sapiens,RNA,peripheral blood sample,non-asthmatic,child-133,1
GSM870995,Homo sapiens,RNA,peripheral blood sample,non-asthmatic,child-136,1
GSM871014,Homo sapiens,RNA,peripheral blood sample,non-asthmatic,child-172,1
GSM871015,Homo sapiens,RNA,peripheral blood sample,non-asthmatic,child-173,1
GSM871016,Homo sapiens,RNA,peripheral blood sample,non-asthmatic,child-174,1
GSM871020,Homo sapiens,RNA,peripheral blood sample,non-asthmatic,child-179,1
GSM871021,Homo sapiens,RNA,peripheral blood sample,non-asthmatic,child-182,1
GSM871025,Homo sapiens,RNA,peripheral blood sample,non-asthmatic,child-189,1
GSM871026,Homo sapiens,RNA,peripheral blood sample,non-asthmatic,child-191,1
GSM871027,Homo sapiens,RNA,peripheral blood sample,non-asthmatic,child-192,1
GSM871032,Homo sapiens,RNA,peripheral blood sample,non-asthmatic,child-197,1
