,Organism,Sample_type,Sample_source_name,subtype,Sample_description,Normal
GSM1647628,Homo sapiens,RNA,"airway epithelium, asthma, Th2 low",Asthma,"Airway epithelium, asthma sample 01",0
GSM1647629,Homo sapiens,RNA,"airway epithelium, asthma, Th2 high",Asthma,"Airway epithelium, asthma sample 02",0
GSM1647630,Homo sapiens,RNA,"airway epithelium, asthma, Th2 low",Asthma,"Airway epithelium, asthma sample 03",0
GSM1647632,Homo sapiens,RNA,"airway epithelium, asthma, Th2 high",Asthma,"Airway epithelium, asthma sample 04",0
GSM1647640,Homo sapiens,RNA,"airway epithelium, asthma, Th2 low",Asthma,"Airway epithelium, asthma sample 05",0
GSM1647641,Homo sapiens,RNA,"airway epithelium, asthma, Th2 high",Asthma,"Airway epithelium, asthma sample 06",0
GSM1647645,Homo sapiens,RNA,"airway epithelium, asthma, Th2 low",Asthma,"Airway epithelium, asthma sample 07",0
GSM1647646,Homo sapiens,RNA,"airway epithelium, asthma, Th2 low",Asthma,"Airway epithelium, asthma sample 08",0
GSM1647647,Homo sapiens,RNA,"airway epithelium, asthma, Th2 low",Asthma,"Airway epithelium, asthma sample 09",0
GSM1647648,Homo sapiens,RNA,"airway epithelium, asthma, Th2 high",Asthma,"Airway epithelium, asthma sample 10",0
GSM1647649,Homo sapiens,RNA,"airway epithelium, asthma, Th2 high",Asthma,"Airway epithelium, asthma sample 11",0
GSM1647650,Homo sapiens,RNA,"airway epithelium, asthma, Th2 high",Asthma,"Airway epithelium, asthma sample 12",0
GSM1647651,Homo sapiens,RNA,"airway epithelium, asthma, Th2 high",Asthma,"Airway epithelium, asthma sample 13",0
GSM1647652,Homo sapiens,RNA,"airway epithelium, asthma, Th2 high",Asthma,"Airway epithelium, asthma sample 14",0
GSM1647653,Homo sapiens,RNA,"airway epithelium, asthma, Th2 high",Asthma,"Airway epithelium, asthma sample 15",0
GSM1647654,Homo sapiens,RNA,"airway epithelium, asthma, Th2 low",Asthma,"Airway epithelium, asthma sample 16",0
GSM1647655,Homo sapiens,RNA,"airway epithelium, asthma, Th2 high",Asthma,"Airway epithelium, asthma sample 17",0
GSM1647656,Homo sapiens,RNA,"airway epithelium, asthma, Th2 high",Asthma,"Airway epithelium, asthma sample 18",0
GSM1647657,Homo sapiens,RNA,"airway epithelium, asthma, Th2 low",Asthma,"Airway epithelium, asthma sample 19",0
GSM1647658,Homo sapiens,RNA,"airway epithelium, asthma, Th2 high",Asthma,"Airway epithelium, asthma sample 20",0
GSM1647659,Homo sapiens,RNA,"airway epithelium, asthma, Th2 low",Asthma,"Airway epithelium, asthma sample 21",0
GSM1647660,Homo sapiens,RNA,"airway epithelium, asthma, Th2 high",Asthma,"Airway epithelium, asthma sample 22",0
GSM1647661,Homo sapiens,RNA,"airway epithelium, asthma, Th2 high",Asthma,"Airway epithelium, asthma sample 23",0
GSM1647662,Homo sapiens,RNA,"airway epithelium, asthma, Th2 low",Asthma,"Airway epithelium, asthma sample 24",0
GSM1647663,Homo sapiens,RNA,"airway epithelium, asthma, Th2 high",Asthma,"Airway epithelium, asthma sample 25",0
GSM1647664,Homo sapiens,RNA,"airway epithelium, asthma, Th2 high",Asthma,"Airway epithelium, asthma sample 26",0
GSM1647665,Homo sapiens,RNA,"airway epithelium, asthma, Th2 low",Asthma,"Airway epithelium, asthma sample 27",0
GSM1647666,Homo sapiens,RNA,"airway epithelium, asthma, Th2 high",Asthma,"Airway epithelium, asthma sample 28",0
GSM1647667,Homo sapiens,RNA,"airway epithelium, asthma, Th2 high",Asthma,"Airway epithelium, asthma sample 29",0
GSM1647668,Homo sapiens,RNA,"airway epithelium, asthma, Th2 high",Asthma,"Airway epithelium, asthma sample 30",0
GSM1647669,Homo sapiens,RNA,"airway epithelium, asthma, Th2 high",Asthma,"Airway epithelium, asthma sample 31",0
GSM1647670,Homo sapiens,RNA,"airway epithelium, asthma, Th2 high",Asthma,"Airway epithelium, asthma sample 32",0
GSM1647671,Homo sapiens,RNA,"airway epithelium, asthma, Th2 low",Asthma,"Airway epithelium, asthma sample 33",0
GSM1647672,Homo sapiens,RNA,"airway epithelium, asthma, Th2 high",Asthma,"Airway epithelium, asthma sample 34",0
GSM1647673,Homo sapiens,RNA,"airway epithelium, asthma, Th2 high",Asthma,"Airway epithelium, asthma sample 35",0
GSM1647674,Homo sapiens,RNA,"airway epithelium, asthma, Th2 low",Asthma,"Airway epithelium, asthma sample 36",0
GSM1647675,Homo sapiens,RNA,"airway epithelium, asthma, Th2 high",Asthma,"Airway epithelium, asthma sample 37",0
GSM1647676,Homo sapiens,RNA,"airway epithelium, asthma, Th2 high",Asthma,"Airway epithelium, asthma sample 38",0
GSM1647695,Homo sapiens,RNA,"airway epithelium, asthma, Th2 high",Asthma,"Airway epithelium, asthma sample 39",0
GSM1647696,Homo sapiens,RNA,"airway epithelium, asthma, Th2 high",Asthma,"Airway epithelium, asthma sample 40",0
GSM1647697,Homo sapiens,RNA,"airway epithelium, asthma, Th2 high",Asthma,"Airway epithelium, asthma sample 41",0
GSM1647698,Homo sapiens,RNA,"airway epithelium, asthma, Th2 high",Asthma,"Airway epithelium, asthma sample 42",0
GSM1647699,Homo sapiens,RNA,"airway epithelium, asthma, Th2 high",Asthma,"Airway epithelium, asthma sample 43",0
GSM1647700,Homo sapiens,RNA,"airway epithelium, asthma, Th2 low",Asthma,"Airway epithelium, asthma sample 44",0
GSM1647703,Homo sapiens,RNA,"airway epithelium, asthma, Th2 high",Asthma,"Airway epithelium, asthma sample 45",0
