Term Name 	 Binom Rank 	 Binom Raw P-Value 	  Binom FDR Q-Val  	 Binom Fold Enrichment 	 Binom Observed Region Hits 	 Binom Region Set Coverage 	 Hyper Rank 	  Hyper FDR Q-Val  	 Hyper Fold Enrichment 	 Hyper Observed Gene Hits 	 Hyper Total Genes 	 Hyper Gene Set Coverage
pattern specification process	93	1.217648E-132	1.36690807741936E-130	2.144752	1261	0.05769847	41	6.11637330731707E-17	1.455761	289	424	0.03421333
regionalization	132	2.950968E-89	2.33394741818182E-87	2.114458	880	0.04026539	95	1.05837620968421E-10	1.430978	201	300	0.02379543
cell fate commitment	138	2.725677E-84	2.06203390434783E-82	2.215242	749	0.03427133	50	1.1027711448E-15	1.601841	168	224	0.01988872
stem cell differentiation	148	5.957188E-74	4.20223261621622E-72	2.053351	781	0.03573553	89	2.90267073707865E-11	1.487269	172	247	0.02036226
connective tissue development	157	3.476549E-71	2.31179436687898E-69	2.255094	608	0.02781972	120	2.08879257E-08	1.484772	130	187	0.01539008
spinal cord development	159	3.358976E-70	2.20551631698113E-68	2.856021	388	0.01775337	99	4.48741254545454E-10	1.779823	70	84	0.008286966
kidney development	164	3.550501E-64	2.26019697804878E-62	2.099485	642	0.02937543	96	2.1619152E-10	1.525563	140	196	0.01657393
dorsal spinal cord development	168	3.270716E-63	2.03251637142857E-61	5.190574	167	0.007641272	263	5.72721727756654E-05	2.038707	21	22	0.00248609
central nervous system neuron differentiation	171	2.387807E-60	1.45781901052632E-58	2.168481	560	0.02562343	78	1.60925773846154E-12	1.642914	120	156	0.01420623
cell differentiation in spinal cord	172	3.320923E-60	2.01572303023256E-58	3.200674	279	0.01276596	156	6.02277576923077E-07	1.836778	43	50	0.005090565
spinal cord association neuron differentiation	176	6.971793E-59	4.13554084772727E-57	6.108461	134	0.00613132	494	0.004320847603239	1.993402	14	15	0.001657393
neuron fate commitment	179	4.72671E-58	2.75680739664805E-56	2.922268	308	0.01409288	74	4.68597848108108E-13	1.997995	58	62	0.006866343
mesenchyme development	181	1.197755E-57	6.90859790055249E-56	2.208947	513	0.02347289	97	2.71819068865979E-10	1.617097	106	140	0.01254883
ureteric bud morphogenesis	186	3.847672E-56	2.15966105806452E-54	2.932223	296	0.01354381	213	1.11106058028169E-05	1.70139	47	59	0.005564106
branching involved in ureteric bud morphogenesis	189	8.105156E-55	4.47713379047619E-53	3.087396	267	0.01221688	321	0.000292522262804	1.642914	40	52	0.004735409
ossification	212	2.502391E-50	1.23230953018868E-48	2.029238	544	0.02489133	290	0.00012483972	1.344354	124	197	0.01467977
metanephros development	219	4.57092E-47	2.17901391780822E-45	2.468543	332	0.01519103	160	7.338191175E-07	1.661168	63	81	0.007458269
nerve development	226	3.108386E-45	1.43590928495575E-43	2.742086	264	0.01207962	134	6.56145507761194E-08	1.764346	57	69	0.006747958
developmental maturation	231	5.785659E-44	2.61481731428571E-42	2.095316	438	0.02004118	428	0.001762699113084	1.30787	109	178	0.01290399
regulation of blood pressure	235	5.784506E-43	2.56979755914894E-41	2.098854	426	0.01949211	294	0.000148043283673	1.386875	100	154	0.01183852
sequence-specific DNA binding	3	9.208862E-221	1.13207610186667E-217	2.207385	1941	0.08881263	1	3.4629239416E-25	1.437137	469	697	0.05552267
sequence-specific DNA binding RNA polymerase II transcription factor activity	13	1.437977E-90	4.07943013538462E-88	2.185468	829	0.03793182	14	1.32613156685714E-08	1.416035	181	273	0.02142773
RNA polymerase II distal enhancer sequence-specific DNA binding transcription factor activity	21	4.214623E-64	7.40168077333333E-62	2.814875	362	0.01656372	35	5.76970424457143E-05	1.549033	66	91	0.007813425
transcription regulatory region sequence-specific DNA binding	32	6.557062E-47	7.557013955E-45	2.054411	491	0.02246625	27	1.44442568888889E-06	1.461998	115	168	0.0136143
RNA polymerase II transcription regulatory region sequence-specific DNA binding transcription factor activity involved in positive regulation of transcription	79	3.077132E-25	1.43651428050633E-23	2.065648	253	0.0115763	54	0.002696575448889	1.476594	56	81	0.006629573
proteoglycan binding	110	4.142722E-19	1.38894170327273E-17	2.945317	94	0.004301075	68	0.026794686729412	1.81542	17	20	0.002012549
neurotransmitter:sodium symporter activity	112	6.655386E-19	2.19152353285714E-17	3.257294	80	0.00366049	72	0.046389420922222	1.798558	16	19	0.001894164
frizzled binding	151	2.623343E-13	6.40721124768212E-12	2.21782	106	0.004850149	60	0.015209582453333	1.647608	27	35	0.003196401
HMG box domain binding	155	6.890764E-13	1.63955726658065E-11	2.553825	77	0.003523221	58	0.008407520882759	1.910968	17	19	0.002012549
excitatory extracellular ligand-gated ion channel activity	162	1.556212E-12	3.54278386172839E-11	2.015794	124	0.005673759	30	3.76424694133333E-06	1.824319	41	48	0.004853794
sodium channel activity	167	2.077524E-12	4.58796916886228E-11	2.33117	88	0.004026539	42	0.001057579660952	1.769653	29	35	0.003433172
E-box binding	172	3.205156E-12	6.87245077209302E-11	2.251819	93	0.004255319	45	0.001017884721778	1.841196	25	29	0.002959631
voltage-gated calcium channel activity	179	1.434724E-11	2.95601235307263E-10	2.076729	105	0.004804393	42	0.001057579660952	1.769653	29	35	0.003433172
acetylcholine-activated cation-selective channel activity	249	1.56106E-08	2.31212420883534E-07	2.696505	43	0.001967513	57	0.006578324421053	2.002301	15	16	0.001775778
anchored to membrane	30	1.753048E-62	7.39201906666667E-61	2.564095	414	0.01894303	26	4.615333525E-08	1.540818	101	140	0.01195691
anchored to plasma membrane	36	4.335917E-51	1.52359305694444E-49	4.010853	176	0.008053077	63	0.011003341468254	1.601841	27	36	0.003196401
external side of plasma membrane	37	2.715051E-47	9.28253922972973E-46	2.021866	515	0.0235644	39	3.95278442307692E-05	1.351634	131	207	0.01550846
MHC protein complex	40	2.131659E-46	6.7413715875E-45	6.375343	101	0.004621368	65	0.020078099461539	1.661168	21	27	0.00248609
clathrin-coated endocytic vesicle membrane	84	1.050613E-21	1.58217314880952E-20	3.14111	98	0.0044841	71	0.041083191197183	1.601841	21	28	0.00248609
presynaptic membrane	89	8.043603E-21	1.14327615674157E-19	2.262603	167	0.007641272	22	8.03292825E-09	1.922209	45	50	0.005327335
terminal bouton	154	1.931409E-10	1.58651453571429E-09	2.126514	88	0.004026539	61	0.008558338836066	1.63325	26	34	0.003078016
acetylcholine-gated channel complex	201	6.552701E-07	4.12396356467662E-06	2.398249	41	0.001876001	64	0.018262075648438	1.868814	14	16	0.001657393
dense core granule	260	0.0001247664	0.000607036523077	2.220871	28	0.001281171	70	0.041664076142857	2.135788	8	8	0.0009470818
