Term Name 	 Binom Rank 	 Binom Raw P-Value 	  Binom FDR Q-Val  	 Binom Fold Enrichment 	 Binom Observed Region Hits 	 Binom Region Set Coverage 	 Hyper Rank 	  Hyper FDR Q-Val  	 Hyper Fold Enrichment 	 Hyper Observed Gene Hits 	 Hyper Total Genes 	 Hyper Gene Set Coverage
apoptotic signaling pathway	214	1.958481E-77	9.55445871028038E-76	2.007265	871	0.02860051	197	3.06112246903553E-08	1.209837	247	283	0.0189781
negative regulation of transferase activity	258	1.966435E-64	7.95720209302326E-63	2.079352	663	0.02177054	310	7.38219472258065E-05	1.194239	168	195	0.01290818
negative regulation of kinase activity	266	1.268599E-61	4.97901261654135E-60	2.082846	631	0.02071977	291	3.83852251546392E-05	1.205365	160	184	0.01229351
negative regulation of protein kinase activity	273	1.461829E-59	5.59029112087912E-58	2.090706	604	0.01983319	290	3.8122848E-05	1.210907	152	174	0.01167883
cellular response to external stimulus	301	2.905362E-54	1.00770695282392E-52	2.039578	583	0.01914363	376	0.00038173887766	1.185945	154	180	0.0118325
intrinsic apoptotic signaling pathway	311	1.638769E-53	5.50120526045016E-52	2.248691	459	0.01507191	190	2.553102E-08	1.293758	126	135	0.009681137
endosomal transport	358	1.553149E-45	4.52929484916201E-44	2.076124	466	0.01530177	170	1.19185557882353E-09	1.301302	138	147	0.01060315
ER-nucleus signaling pathway	396	9.305397E-41	2.45324102727273E-39	2.406735	301	0.009883759	231	6.25412041558441E-07	1.313973	91	96	0.006991932
cellular response to extracellular stimulus	419	9.37891E-39	2.33689308830549E-37	2.044828	409	0.01343009	334	0.000161209603832	1.230919	111	125	0.008528621
cellular response to oxidative stress	428	1.939214E-37	4.73023228037383E-36	2.04172	396	0.01300322	433	0.001228585468822	1.215938	100	114	0.007683442
negative regulation of protein serine/threonine kinase activity	444	3.463012E-36	8.14275794594595E-35	2.102315	356	0.01168976	534	0.008740145123596	1.20229	85	98	0.006530926
positive regulation of cellular catabolic process	450	1.591433E-35	3.69212456E-34	2.030512	380	0.01247784	525	0.007947276	1.186467	101	118	0.007760277
response to topologically incorrect protein	459	3.972714E-35	9.03597694117647E-34	2.060918	362	0.01188678	204	4.50113691176471E-08	1.281012	134	145	0.01029581
response to unfolded protein	469	3.126288E-34	6.95915708315565E-33	2.064065	351	0.01152558	207	7.09033860869565E-08	1.28499	127	137	0.009757972
response to endoplasmic reticulum stress	491	9.878378E-33	2.10041275600815E-31	2.043931	343	0.01126289	183	6.67411514754098E-09	1.309767	120	127	0.009220131
translational initiation	504	5.155369E-32	1.06789786428571E-30	2.054097	331	0.01086885	139	3.39731044316547E-11	1.320162	140	147	0.01075682
macromolecular complex disassembly	507	1.325695E-31	2.72983349112426E-30	2.119057	303	0.009949432	202	4.04867851485149E-08	1.292369	124	133	0.009527468
viral life cycle	524	1.140832E-30	2.27295535877863E-29	2.014663	332	0.01090169	147	9.81098644897959E-11	1.312241	142	150	0.01091049
cellular response to topologically incorrect protein	531	3.247499E-30	6.38491328813559E-29	2.277439	246	0.008077757	248	1.75378823709677E-06	1.310834	87	92	0.006684595
endoplasmic reticulum unfolded protein response	546	3.560461E-29	6.80791443956044E-28	2.291302	234	0.00768372	270	1.08268252E-05	1.30463	80	85	0.006146754
phosphatase binding	71	5.68581E-40	2.95341792676056E-38	2.013533	439	0.01441518	51	1.31035218509804E-05	1.257224	117	129	0.008989627
protein phosphatase binding	83	7.28782E-30	3.23825062168675E-28	2.066602	303	0.009949432	85	0.006756099265882	1.228651	78	88	0.005993085
repressing transcription factor binding	89	8.696498E-29	3.60367242966292E-27	2.318881	225	0.007388192	90	0.009935881777778	1.281553	49	53	0.003764887
ribonucleoprotein complex binding	122	9.899675E-18	2.99262306557377E-16	2.110302	164	0.005385171	48	4.071729485E-06	1.363446	60	61	0.004610065
DNA-directed RNA polymerase activity	240	8.820823E-10	1.35546646766667E-08	2.040672	90	0.002955277	103	0.024380855976699	1.28946	40	43	0.003073377
