Term Name 	 Binom Rank 	 Binom Raw P-Value 	  Binom FDR Q-Val  	 Binom Fold Enrichment 	 Binom Observed Region Hits 	 Binom Region Set Coverage 	 Hyper Rank 	  Hyper FDR Q-Val  	 Hyper Fold Enrichment 	 Hyper Observed Gene Hits 	 Hyper Total Genes 	 Hyper Gene Set Coverage
cellular response to external stimulus	283	8.679959E-155	3.20207674770318E-153	2.216996	1401	0.02080889	596	0.034943958724832	1.084983	167	180	0.01082518
negative regulation of transferase activity	319	1.783418E-135	5.83664072727273E-134	2.059853	1452	0.02156638	386	0.002029669610363	1.103475	184	195	0.01192714
negative regulation of kinase activity	328	3.786074E-130	1.20507965121951E-128	2.066422	1384	0.02055639	446	0.005317185632287	1.099531	173	184	0.01121411
negative regulation of protein kinase activity	353	1.495132E-117	4.42186347875354E-116	2.033857	1299	0.01929389	506	0.012412225351779	1.095513	163	174	0.01056589
cellular response to extracellular stimulus	372	3.422689E-110	9.60561106451613E-109	2.227536	985	0.01463009	570	0.026805432631579	1.103954	118	125	0.007648927
actin filament organization	438	1.356376E-95	3.23300580821918E-94	2.063017	1018	0.01512023	579	0.029261498860104	1.103426	117	124	0.007584106
negative regulation of MAPK cascade	475	8.62706E-89	1.89613697684211E-87	2.109918	895	0.01329333	614	0.040823630618893	1.105655	104	110	0.006741427
intrinsic apoptotic signaling pathway	479	1.680957E-88	3.66371421294363E-87	2.069756	934	0.01387259	240	7.65482115E-06	1.152118	133	135	0.008621248
transforming growth factor beta receptor signaling pathway	504	1.129583E-84	2.3398505E-83	2.006973	964	0.01431818	564	0.024420955531915	1.104474	119	126	0.007713749
cellular response to nutrient levels	526	1.922087E-80	3.81494073764259E-79	2.146103	778	0.01155554	598	0.035847747692308	1.11155	96	101	0.006222856
viral life cycle	548	1.371356E-75	2.61258332846715E-74	2.102559	766	0.01137731	241	7.70696828215768E-06	1.146054	147	150	0.009528748
macromolecular complex disassembly	623	2.517522E-63	4.21876880898876E-62	2.078358	657	0.009758344	309	0.000361747351456	1.134272	129	133	0.008361963
regulation of mRNA stability	627	5.004143E-63	8.33225724401914E-62	2.711822	381	0.005658948	577	0.029310978509532	1.169443	41	41	0.002657678
regulation of RNA stability	630	1.619176E-62	2.68320594285714E-61	2.63585	397	0.005896594	548	0.019274049854015	1.169443	44	44	0.002852142
protein complex disassembly	665	1.405665E-58	2.20678836090226E-57	2.070517	612	0.009089964	325	0.000741090948923	1.13261	123	127	0.007973034
viral gene expression	668	2.111664E-58	3.30026529341317E-57	2.37108	452	0.006713503	298	0.000201190501208	1.157133	94	95	0.006093213
ER-nucleus signaling pathway	680	1.18848E-57	1.82466635294118E-56	2.101324	581	0.008629525	296	0.000174772971486	1.157261	95	96	0.006158035
cellular protein complex disassembly	703	3.366894E-56	5.00005310953058E-55	2.164802	528	0.007842322	369	0.001464095131707	1.136959	105	108	0.006806249
nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	729	1.832571E-53	2.62442266666667E-52	2.075048	554	0.008228497	236	7.18236610169492E-06	1.159616	118	119	0.007648927
regulation of nuclease activity	773	1.619031E-49	2.18663436481242E-48	2.25525	423	0.006282769	419	0.003558360630072	1.153423	72	73	0.004667142
melanosome	105	4.450255E-64	5.36149769047619E-63	2.060664	679	0.01008511	108	0.003695587398148	1.132121	91	94	0.005898749
cytosolic ribosome	146	1.264223E-40	1.09537129794521E-39	2.071826	418	0.006208505	66	9.49756058333333E-05	1.157261	95	96	0.006158035
large ribosomal subunit	171	1.076544E-30	7.96390736842105E-30	2.077642	309	0.004589541	95	0.001423958568421	1.153851	74	75	0.004796785
cytosolic large ribosomal subunit	188	1.294461E-26	8.71007002659574E-26	2.227428	226	0.003356751	134	0.023277208358209	1.147378	52	53	0.003370714
nucleolar part	200	7.085411E-25	4.4815224575E-24	2.41259	178	0.002643813	141	0.037253891134752	1.169443	35	35	0.00226875
protein tyrosine/serine/threonine phosphatase activity	145	3.34841E-34	8.51650764137931E-33	2.088899	342	0.005079686	97	0.03846557385567	1.169443	44	44	0.002852142
