Term Name 	 Binom Rank 	 Binom Raw P-Value 	  Binom FDR Q-Val  	 Binom Fold Enrichment 	 Binom Observed Region Hits 	 Binom Region Set Coverage 	 Hyper Rank 	  Hyper FDR Q-Val  	 Hyper Fold Enrichment 	 Hyper Observed Gene Hits 	 Hyper Total Genes 	 Hyper Gene Set Coverage
transforming growth factor beta receptor signaling pathway	424	4.496808E-71	1.10723291320755E-69	2.081474	735	0.01484968	399	0.004293079759399	1.11883	121	126	0.007814014
intrinsic apoptotic signaling pathway	480	1.475789E-62	3.209841075E-61	2.040704	677	0.01367787	153	6.92956023529412E-08	1.165063	135	135	0.008718114
nuclear-transcribed mRNA catabolic process	514	1.634617E-56	3.32011701945525E-55	2.007008	636	0.01284952	286	0.000361375672028	1.118193	167	174	0.01078463
response to topologically incorrect protein	553	8.916817E-51	1.68339185316456E-49	2.003652	572	0.01155649	172	3.32257309534884E-07	1.157028	144	145	0.009299322
response to endoplasmic reticulum stress	559	2.786712E-50	5.20452115921288E-49	2.023883	552	0.01115242	200	4.021816338E-06	1.155889	126	127	0.008136907
response to unfolded protein	560	3.361027E-50	6.26591462142857E-49	2.015328	557	0.01125343	185	1.00293581189189E-06	1.156559	136	137	0.008782693
ER-nucleus signaling pathway	651	1.306874E-40	2.09581636866359E-39	2.066261	420	0.008485534	275	0.000263420371636	1.152927	95	96	0.006134969
regulation of mitochondrion organization	729	3.590075E-36	5.14134197530864E-35	2.013107	397	0.00802085	437	0.008905190993135	1.136647	80	82	0.00516629
endoplasmic reticulum unfolded protein response	773	8.195778E-34	1.10690714514877E-32	2.072522	344	0.006950057	336	0.001041366696429	1.151356	84	85	0.005424604
cellular response to unfolded protein	779	1.266694E-33	1.6975976071887E-32	2.057763	348	0.007030871	328	0.000925021240244	1.151516	85	86	0.005489183
cellular response to topologically incorrect protein	785	1.677821E-33	2.23139506242038E-32	2.033546	357	0.007212704	295	0.000436089770847	1.152399	91	92	0.005876655
regulation of DNA-dependent transcription in response to stress	819	2.131573E-32	2.71716997802198E-31	2.338941	251	0.005071117	551	0.030721850526316	1.165063	42	42	0.002712302
regulation of RNA stability	830	6.677333E-32	8.39895861686747E-31	2.302976	255	0.005151931	528	0.023600845909091	1.165063	44	44	0.002841459
regulation of mRNA stability	854	1.159925E-30	1.41798793911007E-29	2.323628	240	0.004848877	567	0.034795949206349	1.165063	41	41	0.002647724
positive regulation of mitochondrion organization	860	1.645484E-30	1.99754104186047E-29	2.18377	273	0.005515597	424	0.006349930556604	1.165063	54	54	0.003487246
positive regulation of nuclease activity	875	7.691836E-30	9.17745918171429E-29	2.168189	271	0.00547519	337	0.001088559592878	1.165063	67	67	0.004326768
activation of signaling protein activity involved in unfolded protein response	895	3.489899E-29	4.0708989452514E-28	2.170569	264	0.005333764	347	0.001436726023055	1.165063	65	65	0.004197611
regulation of nuclease activity	909	8.835692E-29	1.01479234851485E-27	2.081399	287	0.005798448	405	0.004728605955556	1.149103	72	73	0.004649661
negative regulation of ERBB signaling pathway	1071	1.597079E-23	1.55681650420168E-22	2.032866	245	0.004949895	551	0.030721850526316	1.165063	42	42	0.002712302
negative regulation of epidermal growth factor receptor signaling pathway	1133	3.243655E-22	2.98885774051192E-21	2.013251	236	0.004768062	567	0.034795949206349	1.165063	41	41	0.002647724
anchoring junction	54	1.071465E-114	2.51000597222222E-113	2.006574	1305	0.02636577	83	0.001591214542169	1.095267	204	217	0.01317404
cell-substrate junction	66	2.228464E-92	4.27122266666667E-91	2.160916	879	0.01775901	106	0.004081194316038	1.10763	135	142	0.008718114
focal adhesion	68	6.483922E-89	1.20620019558824E-87	2.202829	810	0.01636496	105	0.004096310952381	1.111701	125	131	0.008072328
cell-substrate adherens junction	72	3.014068E-86	5.29555002777778E-85	2.164306	817	0.01650638	93	0.002975463629032	1.113282	129	135	0.008330643
melanosome	99	1.94221E-54	2.48171277777778E-53	2.146643	520	0.0105059	64	0.000182807818359	1.152669	93	94	0.006005812
coated pit	139	1.353419E-30	1.23170865827338E-29	2.010008	334	0.00674802	115	0.014203464	1.145316	58	59	0.00374556
nucleolar part	184	8.205141E-19	5.6410344375E-18	2.415205	131	0.002646679	145	0.041316749517241	1.165063	35	35	0.002260252
Cajal body	233	9.764744E-14	5.30145972532189E-13	2.051816	132	0.002666882	123	0.022651933333333	1.165063	40	40	0.002583145
