Term Name 	 Binom Rank 	 Binom Raw P-Value 	  Binom FDR Q-Val  	 Binom Fold Enrichment 	 Binom Observed Region Hits 	 Binom Region Set Coverage 	 Hyper Rank 	  Hyper FDR Q-Val  	 Hyper Fold Enrichment 	 Hyper Observed Gene Hits 	 Hyper Total Genes 	 Hyper Gene Set Coverage
negative regulation of kinase activity	323	2.29474E-77	7.41705436532508E-76	2.002083	881	0.01991636	327	0.000251503878165	1.135651	172	184	0.01158249
macromolecular complex disassembly	565	6.414318E-39	1.18522973309735E-37	2.027031	421	0.009517351	360	0.00054781116	1.150941	126	133	0.008484848
protein complex disassembly	597	1.304904E-36	2.28194267336683E-35	2.028835	394	0.008906974	394	0.001181347209137	1.14792	120	127	0.008080808
nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	600	1.92293E-36	3.3458982E-35	2.086521	366	0.008273991	284	6.06258887323944E-05	1.174046	115	119	0.007744108
cellular protein complex disassembly	634	1.195206E-33	1.96813101577287E-32	2.09051	335	0.007573189	397	0.001216937679597	1.158638	103	108	0.006936027
ER-nucleus signaling pathway	639	2.930465E-33	4.78780197183099E-32	2.009245	365	0.008251385	204	3.71630377058823E-07	1.214882	96	96	0.006464646
toll-like receptor 5 signaling pathway	681	8.383509E-31	1.28522516828194E-29	2.02491	330	0.007460156	304	0.000107230682368	1.214882	65	65	0.004377104
toll-like receptor 10 signaling pathway	681	8.383509E-31	1.28522516828194E-29	2.02491	330	0.007460156	304	0.000107230682368	1.214882	65	65	0.004377104
viral gene expression	685	9.623069E-31	1.46664000525547E-29	2.187669	274	0.00619419	414	0.001909799286957	1.163729	91	95	0.006127946
translational elongation	702	7.623233E-30	1.13371157435897E-28	2.020189	321	0.007256697	479	0.006778282246347	1.139624	106	113	0.007138047
translational termination	778	3.824982E-27	5.13275219537275E-26	2.137666	253	0.005719453	452	0.00440216920354	1.160281	85	89	0.005723906
viral transcription	837	6.14808E-25	7.66857290322581E-24	2.133783	232	0.005244716	490	0.007443922408163	1.157711	81	85	0.005454545
negative regulation of ERBB signaling pathway	843	8.884075E-25	1.10023419928826E-23	2.135377	230	0.005199503	644	0.045403203354037	1.185956	41	42	0.002760943
positive regulation of cell morphogenesis involved in differentiation	857	3.03303E-24	3.69484634772462E-23	2.122004	228	0.00515429	570	0.020000842105263	1.214882	35	35	0.002356902
regulation of DNA-dependent transcription in response to stress	899	5.411503E-23	6.28432606451613E-22	2.15834	207	0.004679552	644	0.045403203354037	1.185956	41	42	0.002760943
positive regulation of mitochondrion organization	940	6.664704E-22	7.40207550638298E-21	2.031768	227	0.005131683	622	0.035579956398714	1.169887	52	54	0.003501684
positive regulation of nuclease activity	952	1.333283E-21	1.46212967647059E-20	2.023207	226	0.005109077	289	7.63037925259515E-05	1.214882	67	67	0.004511785
regulation of viral transcription	969	3.725945E-21	4.01433083591331E-20	2.019323	222	0.00501865	584	0.022640337739726	1.160484	64	67	0.004309764
regulation of RNA stability	1035	1.404049E-19	1.41625812173913E-18	2.031185	201	0.004543913	450	0.00437605824	1.214882	44	44	0.002962963
regulation of mRNA stability	1042	1.737474E-19	1.74080888291747E-18	2.069154	191	0.004317848	487	0.00726143588501	1.214882	41	41	0.002760943
cell-substrate junction	67	6.682619E-68	1.26171836343284E-66	2.035564	740	0.01672883	113	0.006064896969027	1.120772	131	142	0.008821549
focal adhesion	72	2.443429E-65	4.29296900694445E-64	2.072273	681	0.01539505	100	0.00349803366	1.131417	122	131	0.008215488
cell-substrate adherens junction	74	1.423271E-62	2.43302407432432E-61	2.030445	685	0.01548548	111	0.005401009810811	1.124891	125	135	0.008417508
melanosome	95	4.590903E-43	6.11314978421053E-42	2.064753	447	0.01010512	105	0.004410948980952	1.150261	89	94	0.005993266
cytosolic ribosome	136	2.986547E-25	2.77792790808824E-24	2.021786	268	0.006058551	86	0.000953725421512	1.164262	92	96	0.006195286
stress fiber	139	4.755032E-24	4.32742120863309E-23	2.069465	240	0.005425568	131	0.016031422251908	1.187885	44	45	0.002962963
actin filament bundle	140	5.210128E-24	4.7077228E-23	2.054073	244	0.005515994	125	0.01183044192	1.189034	46	47	0.003097643
proton-transporting two-sector ATPase complex	153	1.883872E-20	1.55758044444444E-19	2.339696	153	0.0034588	148	0.034332664121622	1.166287	48	50	0.003232323
cell division site part	158	4.936761E-20	3.95253333227848E-19	2.064342	198	0.004476094	137	0.021733484854015	1.186629	42	43	0.002828283
cleavage furrow	160	1.145438E-19	9.0561191875E-19	2.105603	185	0.004182209	108	0.004822356865741	1.214882	40	40	0.002693603
nucleolar part	190	2.408923E-14	1.60383557631579E-13	2.269235	110	0.002486719	123	0.011230731707317	1.214882	35	35	0.002356902
cytosolic large ribosomal subunit	192	3.021159E-14	1.9905031953125E-13	2.055129	137	0.003097095	139	0.022655485647482	1.169038	51	53	0.003434343
transcription elongation factor complex	222	1.527814E-11	8.70578698198198E-11	2.067592	106	0.002396293	134	0.018506477985075	1.214882	32	32	0.002154882
