Term Name 	 Binom Rank 	 Binom Raw P-Value 	  Binom FDR Q-Val  	 Binom Fold Enrichment 	 Binom Observed Region Hits 	 Binom Region Set Coverage 	 Hyper Rank 	  Hyper FDR Q-Val  	 Hyper Fold Enrichment 	 Hyper Observed Gene Hits 	 Hyper Total Genes 	 Hyper Gene Set Coverage
negative regulation of carbohydrate metabolic process	667	9.770569E-16	1.52930645217391E-14	2.80477	82	0.003869202	424	0.009323510943396	1.420624	26	27	0.002126094
negative regulation of cellular carbohydrate metabolic process	776	2.856652E-13	3.84322769072165E-12	2.702758	72	0.003397348	556	0.029115338633094	1.411122	22	23	0.001799002
regulation of mitochondrial membrane permeability	977	1.340518E-10	1.43244707471853E-09	2.63548	58	0.002736753	405	0.007287486044444	1.475264	21	21	0.00171723
platelet-derived growth factor receptor signaling pathway	994	1.818772E-10	1.91025952515091E-09	2.044573	97	0.004576983	350	0.003872735897143	1.426088	29	30	0.002371412
deoxyribonucleotide metabolic process	1087	1.341395E-09	1.28833153633855E-08	2.223339	72	0.003397348	616	0.043892658116883	1.336958	29	32	0.002371412
positive regulation of release of cytochrome c from mitochondria	1125	3.230668E-09	2.998059904E-08	2.454272	56	0.002642382	556	0.029115338633094	1.411122	22	23	0.001799002
spinal cord dorsal/ventral patterning	1193	1.03728E-08	9.07728683989942E-08	2.087306	74	0.003491719	465	0.013828208825807	1.475264	19	19	0.001553684
spinal cord patterning	1239	2.307977E-08	1.94473606779661E-07	2.012879	77	0.003633275	405	0.007287486044444	1.475264	21	21	0.00171723
heart trabecula formation	1961	2.382401E-05	0.000126834607037	2.055135	41	0.001934601	639	0.047747723943662	1.475264	15	15	0.001226593
positive regulation of fatty acid transport	2141	6.160587E-05	0.000300404148902	2.02563	38	0.001793045	639	0.047747723943662	1.475264	15	15	0.001226593
actomyosin	113	6.094524E-14	6.82263084955752E-13	2.033202	137	0.006464399	52	0.01915772925	1.287503	48	55	0.003925096
actin filament bundle	131	8.32832E-12	8.04223267175572E-11	2.02068	115	0.00542632	71	0.035072748591549	1.286932	41	47	0.003352686
