Term Name 	 Binom Rank 	 Binom Raw P-Value 	  Binom FDR Q-Val  	 Binom Fold Enrichment 	 Binom Observed Region Hits 	 Binom Region Set Coverage 	 Hyper Rank 	  Hyper FDR Q-Val  	 Hyper Fold Enrichment 	 Hyper Observed Gene Hits 	 Hyper Total Genes 	 Hyper Gene Set Coverage
mRNA metabolic process	109	2.572468E-208	2.46390513027523E-206	2.038106	2261	0.05152219	8	3.260115765E-39	1.336687	558	616	0.04564044
translation	155	6.296097E-149	4.24072597935484E-147	2.231817	1320	0.0300793	49	1.09589361795918E-19	1.316209	322	361	0.02633731
mRNA catabolic process	164	1.174806E-137	7.47864307317073E-136	2.733526	830	0.0189135	48	6.593157975E-20	1.419791	178	185	0.01455914
nuclear-transcribed mRNA catabolic process	167	6.115573E-136	3.82314862994012E-134	2.801112	787	0.01793364	46	2.09849356173913E-20	1.433223	169	174	0.013823
RNA catabolic process	191	3.275025E-118	1.79011837696335E-116	2.442295	872	0.01987057	77	7.84970583896104E-14	1.343376	193	212	0.01578603
nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	201	4.110113E-110	2.13480496119403E-108	3.108843	541	0.01232796	62	1.82760282580645E-15	1.450825	117	119	0.009569769
translational initiation	203	1.209703E-109	6.22132971428572E-108	2.773429	644	0.01467505	81	2.0259052E-13	1.39532	139	147	0.01136921
macromolecular complex disassembly	205	9.994849E-108	5.09005968585366E-106	2.882867	594	0.01353568	126	5.81442625714286E-10	1.364676	123	133	0.01006053
viral gene expression	209	1.22038E-105	6.09606086124402E-104	3.516999	437	0.009958071	110	1.21749951272727E-10	1.429027	92	95	0.007524947
viral life cycle	211	2.733882E-101	1.35268853459716E-99	2.66988	634	0.01444718	123	4.71978904390244E-10	1.347738	137	150	0.01120563
protein complex disassembly	220	1.74237E-96	8.26833763636364E-95	2.834021	546	0.01244189	140	3.43519251428571E-09	1.359435	117	127	0.009569769
cellular protein complex disassembly	226	2.939388E-93	1.35784118230089E-91	3.013025	479	0.01091514	127	1.04851386141732E-09	1.393647	102	108	0.008342876
viral transcription	235	4.407268E-90	1.95795225191489E-88	3.485859	376	0.008568043	117	3.02803812307692E-10	1.440905	83	85	0.006788811
translational elongation	237	3.810921E-89	1.67873482025316E-87	2.96888	468	0.01066448	164	4.20124824878049E-08	1.358098	104	113	0.008506462
protein targeting to ER	241	4.122814E-87	1.78598249626556E-85	2.816885	497	0.01132531	75	3.029914896E-14	1.449038	109	111	0.008915426
translational termination	246	1.577099E-86	6.69305429268293E-85	3.304539	388	0.008841491	104	7.79646852692308E-11	1.442466	87	89	0.007115982
establishment of protein localization to endoplasmic reticulum	248	2.31985E-85	9.76582016129032E-84	2.778408	498	0.0113481	72	2.1709516E-14	1.449275	110	112	0.008997219
cotranslational protein targeting to membrane	257	3.93381E-83	1.5980146459144E-81	2.802064	478	0.01089235	76	4.34617749473684E-14	1.448796	108	110	0.008833633
establishment of protein localization to membrane	258	7.696988E-83	3.11459514418605E-81	2.224437	737	0.01679428	101	5.19312681980198E-11	1.331271	166	184	0.01357762
protein localization to endoplasmic reticulum	261	1.080258E-82	4.321032E-81	2.63199	529	0.01205451	84	5.00081468571429E-13	1.416601	120	125	0.009815148
structural constituent of ribosome	44	2.464446E-89	2.06565382909091E-87	2.632687	572	0.01303436	27	2.46623936E-10	1.345696	145	159	0.01185997
translation factor activity, nucleic acid binding	91	1.461139E-35	5.92162706813187E-34	2.05762	369	0.008408532	79	0.010163222339241	1.242632	80	95	0.006543432
ribonucleoprotein complex binding	94	2.126868E-33	8.34456296170213E-32	2.330663	261	0.005947498	44	0.000124182168364	1.378863	57	61	0.004662195
rRNA binding	105	3.456263E-31	1.2139712327619E-29	3.280404	136	0.003099079	71	0.006699257194366	1.426438	29	30	0.002371994
translation initiation factor activity	119	2.420119E-25	7.50033518655462E-24	2.114965	241	0.005491751	59	0.001793566912542	1.346185	52	57	0.004253231
ribosome binding	217	6.510331E-14	1.10645625474654E-12	2.188731	115	0.002620545	81	0.012006029027161	1.422925	27	28	0.002208408
RNA methyltransferase activity	272	2.521042E-11	3.41823635882353E-10	2.011715	111	0.002529396	94	0.02719675973617	1.380424	29	31	0.002371994
ribonucleoprotein complex	29	1.648667E-203	7.19159915517241E-202	2.036561	2214	0.05045119	19	6.95923771052632E-36	1.316352	562	630	0.04596761
ribosome	52	7.608369E-96	1.85088207403846E-94	2.353571	759	0.0172956	33	1.45139008333333E-12	1.316814	199	223	0.01627679
cytosolic ribosome	53	8.040622E-94	1.91912959056604E-92	3.262252	429	0.009775772	37	1.99049903918919E-12	1.444884	94	96	0.007688533
cytosolic part	62	2.905124E-77	5.92739009677419E-76	2.231303	682	0.01554097	38	2.24522453157895E-11	1.31912	177	198	0.01447734
cell-substrate junction	63	1.106693E-75	2.22216927777778E-74	2.1073	760	0.01731838	124	0.022942784717742	1.163874	112	142	0.009160805
ribosomal subunit	64	7.517416E-75	1.48586425625E-73	2.598159	489	0.01114301	39	6.41327753846154E-11	1.367916	127	137	0.0103877
focal adhesion	71	1.096379E-63	1.95340765492958E-62	2.061241	672	0.0153131	102	0.006718870151961	1.194018	106	131	0.008670047
cell-substrate adherens junction	76	9.441859E-60	1.57157258355263E-58	2.007843	672	0.0153131	139	0.034683433273381	1.158639	106	135	0.008670047
melanosome	79	8.523516E-57	1.36484148607595E-55	2.258199	485	0.01105186	137	0.030924180766423	1.193059	76	94	0.00621626
cytosolic large ribosomal subunit	83	6.289007E-53	9.5850528373494E-52	3.402207	225	0.005127153	55	6.4623445E-07	1.447784	52	53	0.004253231
cell cortex part	90	1.197923E-44	1.68374732777778E-43	2.005573	499	0.01137089	134	0.03016772	1.186287	82	102	0.006707018
large ribosomal subunit	94	7.528684E-43	1.01316864468085E-41	2.682061	260	0.005924711	52	3.439535E-07	1.396926	71	75	0.005807296
nucleosome	103	9.612452E-37	1.18055842524272E-35	2.684427	221	0.005036004	78	0.000305444467308	1.271084	87	101	0.007115982
cytosolic small ribosomal subunit	108	3.61855E-35	4.23839421296296E-34	3.046188	172	0.003919424	70	8.9297109E-05	1.437789	38	39	0.00310813
small ribosomal subunit	112	5.86939E-34	6.62926638392857E-33	2.490431	233	0.005309452	79	0.000350447753797	1.33509	57	63	0.004662195
DNA packaging complex	114	9.919301E-33	1.10069436535088E-31	2.429767	235	0.005355027	66	7.98061283333333E-05	1.282553	93	107	0.00760674
histone deacetylase complex	116	1.295406E-32	1.41266257758621E-31	2.207005	286	0.006517182	123	0.022517596504065	1.273089	44	51	0.003598888
endoplasmic reticulum-Golgi intermediate compartment	129	3.224116E-29	3.16163313178295E-28	2.046039	304	0.006927354	105	0.009149329357143	1.268116	55	64	0.00449861
catalytic step 2 spliceosome	137	6.151897E-28	5.68040124452555E-27	2.133804	262	0.005970285	41	9.47773481707317E-10	1.438268	77	79	0.006298053
cytoplasmic stress granule	157	4.41203E-23	3.55491589171975E-22	2.405605	165	0.003759912	144	0.041000696840278	1.328063	27	30	0.002208408
