Term Name 	 Binom Rank 	 Binom Raw P-Value 	  Binom FDR Q-Val  	 Binom Fold Enrichment 	 Binom Observed Region Hits 	 Binom Region Set Coverage 	 Hyper Rank 	  Hyper FDR Q-Val  	 Hyper Fold Enrichment 	 Hyper Observed Gene Hits 	 Hyper Total Genes 	 Hyper Gene Set Coverage
ncRNA processing	362	2.240074E-38	6.46032391160221E-37	2.011639	421	0.01661339	94	1.70562167234043E-12	1.234342	214	223	0.01525738
mRNA catabolic process	405	3.457128E-32	8.91170773333333E-31	2.007568	352	0.01389053	241	1.0123668E-05	1.181963	170	185	0.01212035
nuclear-transcribed mRNA catabolic process	414	3.091423E-31	7.79576234782609E-30	2.034006	330	0.01302237	215	1.80631374697674E-06	1.197547	162	174	0.01154998
positive regulation of I-kappaB kinase/NF-kappaB cascade	415	3.154316E-31	7.93519494939759E-30	2.000548	344	0.01357484	229	4.87086178165939E-06	1.206964	137	146	0.009767575
ribosome biogenesis	451	1.676242E-28	3.88025864301552E-27	2.011512	308	0.01215422	156	2.49647704615385E-08	1.229268	151	158	0.01076572
viral life cycle	484	2.263505E-26	4.88243640495868E-25	2.027355	278	0.01097036	524	0.008286666320611	1.140479	133	150	0.00948239
translational initiation	503	6.039899E-25	1.253609255666E-23	2.006161	269	0.01061521	344	0.000431294305814	1.172504	134	147	0.009553686
toll-like receptor 4 signaling pathway	506	7.125338E-25	1.47012902608696E-23	2.018595	264	0.0104179	290	0.000105515784	1.220629	93	98	0.006630543
regulation of type I interferon production	509	1.059037E-24	2.17217019253438E-23	2.092084	240	0.009470818	295	0.000123882349424	1.212754	99	105	0.00705832
regulation of viral process	511	1.465618E-24	2.99433501369863E-23	2.075993	243	0.009589203	475	0.004071769237895	1.166349	107	118	0.00762869
carbohydrate transport	534	1.357753E-23	2.65448339325843E-22	2.01678	250	0.009865435	534	0.00947736552809	1.169322	90	99	0.006416655
viral gene expression	539	1.739042E-23	3.36838561781076E-22	2.383249	171	0.006747958	660	0.038432487272727	1.150859	85	95	0.006060174
rRNA processing	546	4.451082E-23	8.51086008791209E-22	2.129172	214	0.008444813	206	1.02898312427184E-06	1.240723	109	113	0.007771282
rRNA metabolic process	556	1.428547E-22	2.68237961870504E-21	2.067842	224	0.00883943	188	3.02091895531915E-07	1.243019	115	119	0.008199059
nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	560	1.997213E-22	3.72337566428571E-21	2.109696	212	0.008365889	408	0.0013505184	1.178166	109	119	0.007771282
toll-like receptor 3 signaling pathway	569	6.420344E-22	1.17800336309315E-20	2.030452	227	0.008957815	292	0.000110202709315	1.238615	78	81	0.005561101
signal transduction in response to DNA damage	575	1.658717E-21	3.01165312695652E-20	2.058278	215	0.008484274	391	0.0010065238711	1.196216	93	100	0.006630543
protein targeting to ER	577	1.967878E-21	3.56059728249567E-20	2.070989	211	0.008326428	478	0.004360410150628	1.170375	101	111	0.007200913
antigen processing and presentation of peptide antigen via MHC class I	589	7.784702E-21	1.37983512529711E-19	2.073568	204	0.008050195	391	0.0010065238711	1.196216	93	100	0.006630543
establishment of protein localization to endoplasmic reticulum	593	1.108708E-20	1.95192437099494E-19	2.038598	211	0.008326428	531	0.009365295389831	1.159926	101	112	0.007200913
structural constituent of ribosome	77	2.036311E-25	9.75313632207792E-24	2.056389	258	0.01018113	51	1.10703057568627E-05	1.197268	148	159	0.01055183
ribonucleoprotein complex binding	106	2.89187E-17	1.00615250566038E-15	2.21135	143	0.005643029	113	0.031128945854867	1.20191	57	61	0.004063881
RNA methyltransferase activity	214	8.093984E-08	1.39488845757009E-06	2.071428	66	0.002604475	100	0.014943510464	1.286254	31	31	0.002210181
ribosomal subunit	93	4.793086E-23	6.5196277311828E-22	2.079447	226	0.008918354	79	0.000394084649367	1.17359	125	137	0.008912021
phagocytic vesicle	110	5.287185E-18	6.08026275E-17	2.108548	167	0.006590111	115	0.015356473	1.188811	61	66	0.004349066
catalytic step 2 spliceosome	119	1.859805E-16	1.97701960084034E-15	2.115568	150	0.005919261	62	1.25057940806452E-05	1.253691	77	79	0.005489805
large ribosomal subunit	130	6.778053E-15	6.59556695769231E-14	2.197267	123	0.004853794	108	0.011180785662037	1.183354	69	75	0.004919435
Cajal body	176	5.228719E-10	3.75814178125E-09	2.246687	74	0.002920169	102	0.006476239431373	1.254098	39	40	0.00278055
anaphase-promoting complex	201	3.781052E-08	2.37961730348259E-07	2.645998	42	0.001657393	142	0.044925370352113	1.286254	21	21	0.001497219
U12-type spliceosomal complex	223	1.90467E-07	1.0804518161435E-06	2.301669	49	0.001933625	124	0.024150298629032	1.286254	24	24	0.001711108
proteasome accessory complex	254	2.487519E-06	1.23886280905512E-05	2.243951	42	0.001657393	133	0.028971971616541	1.286254	23	23	0.001639812
nuclear ubiquitin ligase complex	265	5.796398E-06	2.7669598E-05	2.082416	46	0.00181524	121	0.019233865	1.286254	25	25	0.001782404
