Term Name 	 Binom Rank 	 Binom Raw P-Value 	  Binom FDR Q-Val  	 Binom Fold Enrichment 	 Binom Observed Region Hits 	 Binom Region Set Coverage 	 Hyper Rank 	  Hyper FDR Q-Val  	 Hyper Fold Enrichment 	 Hyper Observed Gene Hits 	 Hyper Total Genes 	 Hyper Gene Set Coverage
apoptotic signaling pathway	211	1.066209E-111	5.27546064454976E-110	2.066213	1178	0.02944043	209	3.60689561913876E-06	1.165261	250	283	0.01827886
mRNA catabolic process	250	1.015324E-85	4.239993024E-84	2.383933	660	0.01649464	87	3.2410344E-13	1.276295	179	185	0.01308767
nuclear-transcribed mRNA catabolic process	252	2.420731E-85	1.00287427142857E-83	2.443629	626	0.01564492	88	5.19550515E-13	1.281171	169	174	0.01235651
RNA catabolic process	288	3.170049E-76	1.1491427625E-74	2.177875	709	0.01771924	99	8.21978214545455E-12	1.250633	201	212	0.01469621
macromolecular complex disassembly	290	5.658508E-76	2.03706288E-74	2.613513	491	0.01227101	214	5.41745259813084E-06	1.229815	124	133	0.009066316
negative regulation of transferase activity	293	1.997249E-75	7.11647766552901E-74	2.014653	844	0.02109314	374	0.003244637550802	1.143199	169	195	0.01235651
viral life cycle	300	2.741711E-74	9.54115428E-73	2.466317	534	0.01334566	171	1.75054195789474E-07	1.239931	141	150	0.01030928
protein complex disassembly	306	1.215804E-73	4.14803717647059E-72	2.647088	465	0.01162122	227	1.79372123524229E-05	1.225598	118	127	0.008627623
cellular response to external stimulus	315	6.348449E-72	2.10405738285714E-70	2.050245	770	0.01924375	493	0.018585671294118	1.128543	154	180	0.01125978
translational initiation	316	8.10906E-72	2.67906918987342E-70	2.456063	520	0.01299578	126	2.3240716E-09	1.265236	141	147	0.01030928
nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	324	1.500785E-70	4.83586277777778E-69	2.703734	429	0.01072152	115	2.9932387826087E-10	1.296906	117	119	0.008554508
cellular protein complex disassembly	327	6.089357E-70	1.94412498715596E-68	2.787107	404	0.01009672	206	2.09566225048544E-06	1.258007	103	108	0.007530891
viral gene expression	337	9.852676E-69	3.05228301008902E-67	3.045194	345	0.008622198	193	9.52394138860104E-07	1.277421	92	95	0.006726621
intrinsic apoptotic signaling pathway	364	2.19101E-64	6.2841056043956E-63	2.192491	588	0.01469522	189	8.58528152380952E-07	1.240908	127	135	0.009285662
establishment of protein localization to membrane	395	7.130664E-61	1.88466157367089E-59	2.078822	628	0.0156949	119	6.88172953613446E-10	1.247387	174	184	0.01272209
viral transcription	398	1.244886E-60	3.26547985929648E-59	3.060508	301	0.007522555	198	1.17337532727273E-06	1.288039	83	85	0.006068582
transforming growth factor beta receptor signaling pathway	403	4.587985E-60	1.18854996029777E-58	2.105364	601	0.01502012	443	0.009886154465011	1.162043	111	126	0.008115815
translational elongation	405	1.671447E-59	4.30861893333333E-58	2.629927	378	0.00944693	187	7.16785277005348E-07	1.26071	108	113	0.007896469
translational termination	408	8.077647E-59	2.06692732058824E-57	2.923672	313	0.007822458	185	4.50962966918919E-07	1.289434	87	89	0.006361044
protein targeting to ER	419	2.696595E-57	6.71896224343675E-56	2.492656	401	0.01002174	172	1.75266902093023E-07	1.271542	107	111	0.007823353
structural constituent of ribosome	70	1.621071E-57	8.54072835428572E-56	2.327069	461	0.01152126	17	4.0239833082353E-11	1.277595	154	159	0.01125978
anchoring junction	44	4.202794E-115	1.208303275E-113	2.135961	1123	0.02806588	119	0.014906472983193	1.1124	183	217	0.01338013
adherens junction	48	5.657492E-100	1.49098487083333E-98	2.088801	1027	0.02566666	140	0.04777822775	1.101428	167	200	0.01221028
ribosome	69	2.939843E-71	5.38971216666667E-70	2.200366	647	0.01616974	33	5.355389E-15	1.26584	214	223	0.01564671
cytosolic part	70	2.808416E-69	5.07520891428571E-68	2.217521	618	0.01544498	44	8.526146E-08	1.212484	182	198	0.01330701
cytosolic ribosome	72	2.525322E-60	4.43685045833333E-59	2.827255	339	0.008472247	55	2.4488859E-06	1.264114	92	96	0.006726621
ribosomal subunit	73	2.639697E-60	4.57426945890411E-59	2.482399	426	0.01064654	39	1.33898887692308E-09	1.270934	132	137	0.009651239
melanosome	84	9.337732E-50	1.40621797380952E-48	2.226445	436	0.01089646	100	0.00322084433	1.192781	85	94	0.006214813
cytosolic large ribosomal subunit	96	4.532467E-41	5.97246953645833E-40	3.167501	191	0.004773449	66	0.0001420114875	1.294188	52	53	0.003802003
large ribosomal subunit	97	1.21269E-39	1.58149778350515E-38	2.692634	238	0.005948067	48	6.00109411458333E-07	1.301488	74	75	0.005410543
midbody	101	1.363302E-38	1.70750200990099E-37	2.021322	420	0.01049659	67	0.000206133071642	1.217608	96	104	0.007019083
catalytic step 2 spliceosome	126	1.053848E-27	1.05802993650794E-26	2.188389	245	0.00612301	53	2.4475673490566E-06	1.285681	77	79	0.00562989
small ribosomal subunit	149	9.599727E-24	8.15010379530201E-23	2.26246	193	0.004823432	96	0.002630974671875	1.235325	59	63	0.004313812
cytoplasmic stress granule	187	2.466617E-17	1.66859385294118E-16	2.238585	140	0.003498863	127	0.025813789212599	1.275107	29	30	0.002120348
nucleolar part	201	1.414447E-15	8.90186793532338E-15	2.41745	106	0.002649139	136	0.041513439889706	1.2437	33	35	0.00241281
COP9 signalosome	226	7.452057E-12	4.17117349778761E-11	2.005322	118	0.002949042	136	0.041513439889706	1.2437	33	35	0.00241281
