Term Name 	 Binom Rank 	 Binom Raw P-Value 	  Binom FDR Q-Val  	 Binom Fold Enrichment 	 Binom Observed Region Hits 	 Binom Region Set Coverage 	 Hyper Rank 	  Hyper FDR Q-Val  	 Hyper Fold Enrichment 	 Hyper Observed Gene Hits 	 Hyper Total Genes 	 Hyper Gene Set Coverage
negative regulation of transferase activity	330	3.843875E-95	1.21606227272727E-93	2.080656	988	0.02178419	302	0.000138950212053	1.129091	184	195	0.01220402
negative regulation of kinase activity	334	1.848306E-93	5.77733971257485E-92	2.101188	948	0.02090224	329	0.000495806706383	1.125056	173	184	0.01147443
negative regulation of protein kinase activity	375	6.092019E-85	1.6960180896E-83	2.070916	891	0.01964546	374	0.001448675894118	1.120944	163	174	0.01081117
transforming growth factor beta receptor signaling pathway	423	4.797291E-71	1.18401224680851E-69	2.135582	691	0.0152357	375	0.0015028524768	1.13961	120	126	0.007959143
negative regulation of MAPK cascade	492	7.333615E-60	1.55615732926829E-58	2.103249	601	0.01325131	408	0.003061174323529	1.1422	105	110	0.00696425
viral life cycle	604	2.692673E-44	4.65422286754967E-43	2.008816	493	0.01087004	355	0.000909387522254	1.132773	142	150	0.009418319
nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	648	7.510588E-41	1.21003917777778E-39	2.146246	386	0.008510826	472	0.010261706033898	1.126203	112	119	0.007428534
maintenance of location in cell	662	1.640572E-39	2.58724647734139E-38	2.028473	427	0.009414826	498	0.016293018289157	1.134268	91	96	0.006035683
ER-nucleus signaling pathway	698	2.025329E-37	3.02928864756447E-36	2.067051	385	0.008488777	309	0.000209811193398	1.171662	94	96	0.006234662
toll-like receptor 3 signaling pathway	706	9.426355E-37	1.39392558356941E-35	2.014095	403	0.008885655	388	0.001810455559794	1.167045	79	81	0.005239769
TRIF-dependent toll-like receptor signaling pathway	717	6.737367E-36	9.81005738912134E-35	2.028841	386	0.008510826	330	0.000494737363636	1.181051	76	77	0.005040791
regulation of mitochondrion organization	739	6.327911E-35	8.93956574289581E-34	2.042007	369	0.008135997	377	0.001592403507692	1.167406	80	82	0.005306095
maintenance of protein location in cell	750	2.103919E-34	2.928655248E-33	2.005702	380	0.008378533	500	0.016633266912	1.140935	82	86	0.005438748
regulation of mitochondrial outer membrane permeabilization	797	5.68264E-32	7.44375929736512E-31	2.525319	213	0.004696388	547	0.029626696892139	1.196591	36	36	0.002387743
positive regulation of mitochondrion organization	799	6.253532E-32	8.17107310137672E-31	2.278449	261	0.005754729	378	0.00168017907619	1.196591	54	54	0.003581614
spindle organization	816	2.188349E-31	2.79979945588235E-30	2.061521	322	0.007099705	468	0.009689335	1.151719	77	80	0.005107117
regulation of RNA stability	818	2.285547E-31	2.91700619559902E-30	2.355601	239	0.005269656	460	0.008353112086957	1.196591	44	44	0.002918352
toll-like receptor 5 signaling pathway	834	8.239063E-31	1.03136472086331E-29	2.010858	336	0.007408387	315	0.000278004572571	1.196591	65	65	0.004311202
toll-like receptor 10 signaling pathway	834	8.239063E-31	1.03136472086331E-29	2.010858	336	0.007408387	315	0.000278004572571	1.196591	65	65	0.004311202
positive regulation of nuclease activity	845	1.641983E-30	2.02867485443787E-29	2.243962	257	0.005666534	308	0.000198288716494	1.196591	67	67	0.004443855
cell-substrate junction	79	1.782589E-67	2.85439884177215E-66	2.017536	752	0.01658068	122	0.019289176229508	1.103897	131	142	0.008688731
focal adhesion	80	2.852451E-65	4.51043814375E-64	2.056759	693	0.0152798	110	0.01093335705	1.114382	122	131	0.008091795
cell-substrate adherens junction	86	1.884183E-62	2.77150173837209E-61	2.015041	697	0.01536799	119	0.016929707605042	1.107954	125	135	0.008290774
melanosome	93	1.783813E-57	2.42636929569892E-56	2.243574	498	0.01098029	91	0.003673732373626	1.145672	90	94	0.005969357
actomyosin	139	5.540559E-30	5.04230729136691E-29	2.080454	300	0.006614632	136	0.032909021507353	1.153078	53	55	0.003515288
coated pit	145	1.751211E-28	1.52778063103448E-27	2.016249	307	0.006768973	123	0.020151223739837	1.156028	57	59	0.003780593
catalytic step 2 spliceosome	160	2.551265E-25	2.017093890625E-24	2.048883	260	0.005732681	54	1.5752930212963E-05	1.196591	79	79	0.005239769
cleavage furrow	177	1.486052E-20	1.06206541242938E-19	2.120257	191	0.004211315	105	0.009107037395238	1.196591	40	40	0.002653048
cell division site part	181	7.375257E-20	5.15453044475138E-19	2.043915	201	0.004431803	138	0.0382770575	1.168763	42	43	0.0027857
nucleolar part	187	1.509064E-18	1.02083741176471E-17	2.474813	123	0.002711999	121	0.019426155454546	1.196591	35	35	0.002321417
AP-type membrane coat adaptor complex	188	1.66964E-18	1.12345457446809E-17	2.09059	176	0.003880584	148	0.049015647331081	1.167406	40	41	0.002653048
nucleoid	227	4.426157E-14	2.46655885682819E-13	2.02655	140	0.003086828	99	0.008068555888889	1.196591	41	41	0.002719374
mitochondrial nucleoid	241	1.945324E-13	1.02109330290456E-12	2.013125	135	0.002976584	105	0.009107037395238	1.196591	40	40	0.002653048
structural constituent of ribosome	100	8.093045E-43	2.984714996E-41	2.039667	458	0.01009834	86	0.004461429348837	1.121334	149	159	0.009882603
