Term Name 	 Binom Rank 	 Binom Raw P-Value 	  Binom FDR Q-Val  	 Binom Fold Enrichment 	 Binom Observed Region Hits 	 Binom Region Set Coverage 	 Hyper Rank 	  Hyper FDR Q-Val  	 Hyper Fold Enrichment 	 Hyper Observed Gene Hits 	 Hyper Total Genes 	 Hyper Gene Set Coverage
multi-organism cellular process	1	0	0	2.063807	4073	0.05467848	73	1.65518763287671E-17	1.124748	591	611	0.03809217
viral process	1	0	0	2.055651	4039	0.05422204	75	2.05760568E-17	1.124623	589	609	0.03796326
symbiosis, encompassing mutualism through parasitism	1	0	0	2.040172	4409	0.05918915	98	1.65973308979592E-13	1.107521	641	673	0.04131486
negative regulation of cellular protein metabolic process	1	0	0	2.056583	3726	0.05002014	153	1.27089736470588E-08	1.103684	448	472	0.02887528
negative regulation of protein modification process	220	1.6e-322	7.505e-321	2.171716	3043	0.04085112	199	6.96509059296483E-07	1.105309	346	364	0.022301
negative regulation of phosphate metabolic process	258	3.246071E-264	1.31352640465116E-262	2.117713	2647	0.03553497	622	0.024659330353698	1.067563	269	293	0.01733806
negative regulation of phosphorylation	262	7.70243E-261	3.0692125648855E-259	2.231642	2326	0.03122567	407	0.00206966920688	1.091032	228	243	0.01469546
negative regulation of protein phosphorylation	270	2.860623E-251	1.10610756E-249	2.248349	2206	0.02961471	478	0.006147218334728	1.086644	214	229	0.0137931
modification of morphology or physiology of other organism	278	3.284024E-245	1.23328095539568E-243	2.007948	2794	0.03750839	363	0.000908806601653	1.076566	362	391	0.02333226
apoptotic signaling pathway	279	4.282578E-245	1.60251305806452E-243	2.176431	2310	0.03101087	198	6.76960709090909E-07	1.117613	272	283	0.01753142
modification of morphology or physiology of other organism involved in symbiotic interaction	290	6.221942E-238	2.23989912E-236	2.000678	2737	0.03674319	196	5.25440406122449E-07	1.104362	359	378	0.0231389
negative regulation of transferase activity	293	1.836001E-237	6.5419284778157E-236	2.379791	1856	0.0249161	233	1.09696530128755E-05	1.127031	189	195	0.01218176
negative regulation of protein kinase activity	294	4.744943E-237	1.68493894285714E-235	2.459531	1738	0.02333199	290	0.00011053134	1.122713	168	174	0.01082823
negative regulation of kinase activity	296	1.32665E-236	4.67913040540541E-235	2.418311	1792	0.02405692	261	3.718938E-05	1.124892	178	184	0.01147277
response to oxygen levels	329	9.961497E-212	3.16103430638298E-210	2.131232	2095	0.02812458	279	7.7862904516129E-05	1.10884	226	237	0.01456655
Wnt receptor signaling pathway	330	2.968339E-211	9.3907452E-210	2.055314	2277	0.03056786	358	0.000775281398883	1.09821	221	234	0.01424428
response to hypoxia	351	2.568348E-198	7.63918892307692E-197	2.135525	1954	0.02623171	262	3.73374366870229E-05	1.115456	212	221	0.0136642
response to decreased oxygen levels	352	1.22098E-197	3.62131568181818E-196	2.119265	1982	0.0266076	257	2.71559836575875E-05	1.11609	215	224	0.01385756
negative regulation of cell cycle	391	6.412597E-180	1.71221260051151E-178	2.01714	2033	0.02729225	227	7.94540569162996E-06	1.115923	238	248	0.01533999
guanosine-containing compound catabolic process	398	7.350296E-177	1.92806759396985E-175	2.122533	1768	0.02373473	564	0.014866306404255	1.079048	219	236	0.01411537
protein kinase binding	1	0	0	2.269098	3476	0.04666398	48	2.08800192166667E-06	1.101448	359	379	0.0231389
kinase binding	1	0	0	2.19945	3719	0.04992616	42	3.13290594857143E-07	1.102046	399	421	0.02571705
GTPase activity	68	4.510415E-174	2.44623684117647E-172	2.128984	1728	0.02319774	102	0.043318777960784	1.077235	214	231	0.0137931
ubiquitin protein ligase binding	76	2.055356E-131	9.97388543157895E-130	2.093001	1357	0.01821721	70	0.000935296293714	1.118931	153	159	0.009861424
structural constituent of ribosome	88	7.653E-97	3.20730272727273E-95	2.264112	835	0.01120956	51	8.14196867450981E-06	1.14087	156	159	0.01005479
protein N-terminus binding	117	2.799284E-61	8.82372597606838E-60	2.017606	684	0.009182441	81	0.006027293846914	1.137254	89	91	0.005736384
actin cytoskeleton	41	4.60943e-319	1.4221793e-317	2.09388	3271	0.04391193	125	0.02415571136	1.05525	363	400	0.02339671
cell leading edge	45	5.793709E-293	1.62867597444444E-291	2.144067	2849	0.03824674	52	8.32912247115385E-06	1.106285	274	288	0.01766033
adherens junction	53	2.93004E-246	6.99339735849057E-245	2.284461	2091	0.02807088	129	0.030600389224806	1.075599	185	200	0.01192394
ruffle	58	7.245837E-210	1.58034203534483E-208	2.468947	1528	0.02051282	69	0.000220055183333	1.12886	133	137	0.008572349
nuclear body	62	2.344711E-188	4.7839667983871E-187	2.025497	2106	0.02827225	41	1.40291307682927E-08	1.12392	289	299	0.01862714
nuclear speck	89	3.408695E-124	4.84494289325843E-123	2.165121	1185	0.01590818	87	0.002349989045977	1.105387	154	162	0.009925878
ruffle membrane	102	1.907098E-110	2.36517546078431E-109	2.619862	718	0.009638878	133	0.039151597819549	1.126472	62	64	0.003996133
melanosome	111	5.638472E-104	6.4258261981982E-103	2.326079	848	0.01138408	84	0.00134466683869	1.13807	92	94	0.005929745
ribosome	114	1.297055E-101	1.43927594298246E-100	2.038722	1116	0.01498188	40	5.1837201625E-09	1.141953	219	223	0.01411537
extrinsic to plasma membrane	121	7.830955E-87	8.1869075E-86	2.180078	812	0.01090079	139	0.042609104208633	1.108726	82	86	0.005285208
cytoplasmic side of plasma membrane	128	2.281672E-77	2.25493365625E-76	2.001775	886	0.01189421	107	0.006594658985981	1.118513	101	105	0.006509829
ribosomal subunit	130	1.33432E-76	1.298396E-75	2.197365	702	0.009424084	51	6.63711518627451E-06	1.145835	135	137	0.008701257
cytosolic ribosome	134	9.045487E-72	8.53920974253731E-71	2.414666	539	0.007235871	82	0.001058320134756	1.138585	94	96	0.006058653
