Term Name 	 Binom Rank 	 Binom Raw P-Value 	  Binom FDR Q-Val  	 Binom Fold Enrichment 	 Binom Observed Region Hits 	 Binom Region Set Coverage 	 Hyper Rank 	  Hyper FDR Q-Val  	 Hyper Fold Enrichment 	 Hyper Observed Gene Hits 	 Hyper Total Genes 	 Hyper Gene Set Coverage
negative regulation of kinase activity	297	2.466569E-48	8.67036375757576E-47	2.010571	537	0.0161063	386	8.34365340932642E-05	1.177334	164	184	0.01200761
macromolecular complex disassembly	386	4.841475E-35	1.30945593264249E-33	2.244241	297	0.008907951	259	1.60650236293436E-07	1.251389	126	133	0.009225362
intrinsic apoptotic signaling pathway	389	7.829294E-35	2.10122954652956E-33	2.027237	374	0.01121742	333	8.35542983783784E-06	1.223066	125	135	0.009152145
response to topologically incorrect protein	391	9.897231E-35	2.64263661483376E-33	2.100225	342	0.01025764	319	4.44071127272727E-06	1.220704	134	145	0.0098111
regulation of nuclease activity	398	4.715449E-34	1.23691677286432E-32	2.618007	213	0.006388531	347	1.28361815792507E-05	1.284721	71	73	0.005198419
protein complex disassembly	411	3.149013E-33	7.99895272992701E-32	2.251078	279	0.008368075	275	5.89228285090909E-07	1.248105	120	127	0.008786059
response to unfolded protein	412	3.209315E-33	8.13234189320388E-32	2.093141	329	0.00986773	323	5.70210174613003E-06	1.224494	127	137	0.00929858
positive regulation of nuclease activity	414	4.428611E-33	1.11678016521739E-31	2.681988	198	0.005938634	322	5.61569869565217E-06	1.301196	66	67	0.004832333
protein targeting to membrane	428	8.336678E-32	2.03352612897196E-30	2.024515	341	0.01022765	197	4.78257724873096E-10	1.268424	145	151	0.01061649
activation of signaling protein activity involved in unfolded protein response	445	6.506188E-31	1.52639556674157E-29	2.635758	190	0.005698689	338	9.08813119526627E-06	1.300589	64	65	0.004685898
protein localization to endoplasmic reticulum	448	1.255721E-30	2.92627840178571E-29	2.168649	278	0.008338082	217	3.84514918341014E-09	1.278642	121	125	0.008859277
regulation of protein stability	474	1.85309E-29	4.08148936708861E-28	2.030763	312	0.009357848	410	0.000187822449659	1.214766	103	112	0.007541368
cellular protein complex disassembly	477	2.094853E-29	4.58496128301887E-28	2.300871	234	0.007018386	292	1.30743552328767E-06	1.259758	103	108	0.007541368
cellular response to topologically incorrect protein	485	4.716483E-29	1.01525943340206E-27	2.286889	234	0.007018386	287	1.20199212125436E-06	1.277838	89	92	0.006516327
response to endoplasmic reticulum stress	493	7.74925E-29	1.64101764705882E-27	2.01008	313	0.009387841	235	1.7664457787234E-08	1.268906	122	127	0.008932494
cellular response to nutrient levels	508	4.50479E-28	9.25787551181102E-27	2.021094	300	0.00899793	628	0.009197134624204	1.177049	90	101	0.006589545
protein targeting to ER	510	5.868989E-28	1.20141657176471E-26	2.189231	247	0.007408296	228	1.28573362105263E-08	1.285211	108	111	0.007907454
positive regulation of cell morphogenesis involved in differentiation	526	1.614379E-27	3.20420470722433E-26	2.661834	165	0.004948862	657	0.011335655068493	1.283171	34	35	0.002489384
establishment of protein localization to endoplasmic reticulum	529	1.802197E-27	3.55669880529301E-26	2.167254	248	0.007438289	225	1.010896848E-08	1.285529	109	112	0.007980671
ER-nucleus signaling pathway	540	4.946414E-27	9.56306706666667E-26	2.147283	249	0.007468282	271	4.70840918081181E-07	1.279632	93	96	0.006809196
structural constituent of ribosome	79	5.620466E-28	2.62383273518987E-26	2.054333	287	0.00860802	42	8.2775245752381E-10	1.262758	152	159	0.01112901
protein kinase inhibitor activity	109	1.024302E-15	3.46571172110092E-14	2.054684	153	0.004588945	98	0.00181844216	1.271988	52	54	0.003807292
cis-trans isomerase activity	136	3.71342E-12	1.00699212941176E-10	2.119758	106	0.003179269	123	0.016027922068293	1.260869	42	44	0.003075121
peptidyl-prolyl cis-trans isomerase activity	142	1.256102E-11	3.26232688450704E-10	2.116805	101	0.003029303	130	0.024280532406154	1.25801	40	42	0.002928686
ribosome	67	4.059123E-38	7.66386655970149E-37	2.011854	419	0.01256711	42	1.46999686428571E-13	1.255754	212	223	0.01552204
ribosomal subunit	89	5.29899E-24	7.53171050561798E-23	2.04274	247	0.007408296	60	3.3668481E-08	1.253419	130	137	0.009518231
cytosolic ribosome	109	3.449532E-20	4.00335594495413E-19	2.150775	181	0.005428751	94	4.03756240425532E-05	1.238354	90	96	0.006589545
Golgi cisterna membrane	117	7.627115E-19	8.24641066239316E-18	2.016946	196	0.005878648	100	0.0001121242111	1.26348	66	69	0.004832333
PcG protein complex	120	2.207007E-17	2.3265532125E-16	2.295785	133	0.003989083	138	0.00236790675	1.287041	38	39	0.002782252
large ribosomal subunit	129	3.212007E-16	3.14975880232558E-15	2.185915	137	0.004109055	83	3.91690789759036E-06	1.285687	73	75	0.005344853
cytosolic large ribosomal subunit	136	5.014065E-15	4.6638178125E-14	2.402886	103	0.003089289	125	0.0006239053876	1.271065	51	53	0.003734075
protein serine/threonine phosphatase complex	139	1.041931E-14	9.48232169064748E-14	2.04323	144	0.004319007	128	0.000915832624609	1.290192	42	43	0.003075121
protein phosphatase type 2A complex	158	2.589618E-13	2.07333339873418E-12	2.456763	86	0.002579407	178	0.027085170842697	1.320911	20	20	0.001464343
cleavage furrow	160	5.574774E-13	4.40755569375E-12	2.098983	117	0.003509193	192	0.040257208463542	1.221843	37	40	0.002709035
inclusion body	174	5.503843E-12	4.00135712356322E-11	2.122172	104	0.003119283	185	0.033885247297297	1.224259	38	41	0.002782252
pre-autophagosomal structure	192	5.085733E-10	3.35075637760417E-09	2.452553	62	0.001859572	194	0.043389336984536	1.320911	18	18	0.001317909
COP9 signalosome	198	1.413883E-09	9.03314138888889E-09	2.077441	84	0.002519421	181	0.030021147734807	1.24543	33	35	0.002416166
SAGA-type complex	205	4.464128E-09	2.75469361951219E-08	2.329728	61	0.001829579	153	0.004478164490196	1.320911	27	27	0.001976863
transcription elongation factor complex	237	1.389999E-07	7.41919297468354E-07	2.027561	67	0.002009538	167	0.011491472095808	1.279632	31	32	0.002269732
U12-type spliceosomal complex	243	1.996721E-07	1.03944529423868E-06	2.178925	55	0.001649621	164	0.009641583170732	1.320911	24	24	0.001757212
