Term Name 	 Binom Rank 	 Binom Raw P-Value 	  Binom FDR Q-Val  	 Binom Fold Enrichment 	 Binom Observed Region Hits 	 Binom Region Set Coverage 	 Hyper Rank 	  Hyper FDR Q-Val  	 Hyper Fold Enrichment 	 Hyper Observed Gene Hits 	 Hyper Total Genes 	 Hyper Gene Set Coverage
negative regulation of kinase activity	1	0	0	2.055395	4039	0.0204467	601	0.039904285657238	1.057975	179	184	0.01079028
negative regulation of transferase activity	1	0	0	2.074271	4290	0.02171734	536	0.023173897835821	1.059643	190	195	0.01145337
negative regulation of intracellular protein kinase cascade	451	4.844847e-318	1.1215123e-316	2.032691	3566	0.01805222	427	0.005587991662763	1.073495	153	155	0.009222979
transforming growth factor beta receptor signaling pathway	482	2.19342E-288	4.7508931120332E-287	2.106042	2968	0.01502496	569	0.033161256379613	1.070266	124	126	0.007474833
intrinsic apoptotic signaling pathway	534	3.800263E-251	7.42972766292135E-250	2.059662	2727	0.01380494	407	0.003815088943489	1.079472	134	135	0.008077642
toll-like receptor 4 signaling pathway	681	2.482645E-178	3.80599321585903E-177	2.011796	2051	0.01038281	611	0.043151117184943	1.076431	97	98	0.005847248
TRIF-dependent toll-like receptor signaling pathway	791	1.210838E-151	1.59812246776233E-150	2.037033	1688	0.008545191	556	0.028942196115108	1.087528	77	77	0.00464163
MyD88-independent toll-like receptor signaling pathway	794	1.648757E-151	2.16788703778338E-150	2.011955	1740	0.008808432	539	0.023184683265306	1.087528	80	80	0.004822473
toll-like receptor 3 signaling pathway	800	2.068834E-150	2.69982837E-149	2.003476	1746	0.008838806	526	0.021837066159696	1.087528	81	81	0.004882754
regulation of mitochondrion organization	866	2.48578E-136	2.99671399538106E-135	2.004946	1578	0.007988336	520	0.020303210076923	1.087528	82	82	0.004943035
viral gene expression	896	7.443351E-130	8.67283308482143E-129	2.18483	1222	0.006186152	449	0.007855502432071	1.087528	95	95	0.005726686
viral transcription	1188	7.606989E-90	6.68492972727273E-89	2.038979	990	0.005011694	506	0.016202025818182	1.087528	85	85	0.005123877
cell cortex	1	0	0	2.082111	5026	0.02544321	94	0.021914846542553	1.056307	203	209	0.01223702
melanosome	100	1.772155E-227	2.241776075E-226	2.197002	2124	0.01075236	77	0.006038917785714	1.087528	94	94	0.005666405
transcriptional repressor complex	132	2.570826E-144	2.46370825E-143	2.052907	1575	0.007973149	103	0.047825105825243	1.087528	66	66	0.00397854
protein kinase binding	1	0	0	2.036251	8272	0.04187549	34	7.21998241411765E-08	1.07605	375	379	0.02260534
kinase binding	1	0	0	2.006918	8999	0.04555579	37	1.34671606054054E-07	1.072029	415	421	0.02501658
