Term Name 	 Binom Rank 	 Binom Raw P-Value 	  Binom FDR Q-Val  	 Binom Fold Enrichment 	 Binom Observed Region Hits 	 Binom Region Set Coverage 	 Hyper Rank 	  Hyper FDR Q-Val  	 Hyper Fold Enrichment 	 Hyper Observed Gene Hits 	 Hyper Total Genes 	 Hyper Gene Set Coverage
negative regulation of transferase activity	300	1.182383E-80	4.11469284E-79	2.049293	866	0.02145582	331	0.000109304465982	1.13849	182	195	0.01230561
negative regulation of kinase activity	329	1.552398E-74	4.92615049240122E-73	2.032309	816	0.02021704	362	0.000425848176796	1.133628	171	184	0.01156187
cellular response to external stimulus	339	1.268598E-72	3.90683277876106E-71	2.050994	777	0.01925078	535	0.018234769390654	1.104606	163	180	0.01102096
negative regulation of protein kinase activity	358	2.722838E-68	7.94034321787709E-67	2.008418	769	0.01905257	399	0.001385679221053	1.128675	161	174	0.01088573
glycerophospholipid biosynthetic process	375	1.167107E-65	3.249225888E-64	2.003939	743	0.0184084	205	9.71653346341464E-07	1.167062	177	185	0.01196755
intrinsic apoptotic signaling pathway	419	8.183815E-57	2.03911762768496E-55	2.103299	569	0.01409742	168	5.9325213E-08	1.201739	133	135	0.008992563
cellular response to extracellular stimulus	443	1.42885E-53	3.36731241534989E-52	2.078532	551	0.01365145	553	0.02217858119349	1.122226	115	125	0.007775524
negative regulation of MAPK cascade	452	3.062637E-52	7.07387838053097E-51	2.088111	531	0.01315594	418	0.002485305439234	1.153276	104	110	0.007031778
negative regulation of sequence-specific DNA binding transcription factor activity	460	3.289647E-51	7.46606840869565E-50	2.016212	567	0.01404787	492	0.008893339463415	1.136405	109	117	0.007369844
viral life cycle	520	4.128523E-44	8.28880386923077E-43	2.074122	453	0.01122343	298	3.42211603892617E-05	1.162886	143	150	0.009668695
response to endoplasmic reticulum stress	555	1.049559E-40	1.97430557837838E-39	2.014289	448	0.01109955	157	1.93121048407643E-08	1.210206	126	127	0.00851927
negative regulation of protein serine/threonine kinase activity	560	4.041407E-40	7.53433733571429E-39	2.000625	449	0.01112432	584	0.030975837534247	1.132681	91	98	0.006152806
macromolecular complex disassembly	565	9.108372E-40	1.68303369345133E-38	2.094894	397	0.009835984	501	0.009115007712575	1.128096	123	133	0.00831643
cellular response to nutrient levels	575	5.74289E-39	1.04270907130435E-37	2.001597	435	0.01077746	552	0.022093290652174	1.135269	94	101	0.006355646
ER-nucleus signaling pathway	588	3.159086E-38	5.60898942857143E-37	2.153781	357	0.008844953	234	4.87851830769231E-06	1.207104	95	96	0.006423259
toll-like receptor 3 signaling pathway	615	3.610671E-36	6.12933418536585E-35	2.07226	369	0.009142263	318	6.10775456603773E-05	1.204751	80	81	0.00540906
protein complex disassembly	621	1.284044E-35	2.15868266666667E-34	2.065499	366	0.009067935	534	0.018003985280899	1.123763	117	127	0.007910751
TRIF-dependent toll-like receptor signaling pathway	622	1.742546E-35	2.92478781993569E-34	2.090773	354	0.008770626	333	0.000123534952432	1.203969	76	77	0.005138607
MyD88-independent toll-like receptor signaling pathway	647	5.987609E-34	9.66161328593508E-33	2.037274	360	0.008919281	370	0.000586462485405	1.189315	78	80	0.005273834
viral gene expression	648	6.302034E-34	1.0153277E-32	2.327587	266	0.006590357	401	0.001460796302244	1.16845	91	95	0.006152806
cell-substrate junction	70	4.351373E-72	7.86355263571429E-71	2.128389	706	0.0174917	136	0.021431453272059	1.108138	129	142	0.00872211
focal adhesion	72	3.097794E-67	5.44265195833333E-66	2.147727	644	0.0159556	142	0.030335350316902	1.108072	119	131	0.008045977
cell-substrate adherens junction	75	6.09573E-66	1.02814646E-64	2.118076	652	0.01615381	134	0.020643610522388	1.111383	123	135	0.00831643
ruffle	77	3.973131E-60	6.52728664285714E-59	2.009896	674	0.01669888	106	0.003143047641509	1.130773	127	137	0.008586883
melanosome	87	3.048952E-50	4.43324629885058E-49	2.227443	440	0.01090134	107	0.003288399420561	1.154927	89	94	0.006017579
cytosolic ribosome	136	3.29455E-26	3.06441599264706E-25	2.100039	254	0.006293048	90	0.000672482292778	1.168985	92	96	0.006220419
autophagic vacuole	149	4.818148E-22	4.09057531543624E-21	2.228643	184	0.004558743	143	0.030397879230769	1.189315	39	40	0.002636917
nucleolar part	167	1.013284E-17	7.67547461077844E-17	2.532201	112	0.002774887	119	0.010072923928572	1.219811	35	35	0.002366464
large ribosomal subunit	173	3.650744E-17	2.66947465895954E-16	2.007622	179	0.004434864	91	0.000693319670879	1.187282	73	75	0.004935767
cytosolic large ribosomal subunit	194	4.082636E-14	2.66213120618557E-13	2.104368	128	0.0031713	132	0.020056785833333	1.17378	51	53	0.003448276
