Term Name 	 Binom Rank 	 Binom Raw P-Value 	  Binom FDR Q-Val  	 Binom Fold Enrichment 	 Binom Observed Region Hits 	 Binom Region Set Coverage 	 Hyper Rank 	  Hyper FDR Q-Val  	 Hyper Fold Enrichment 	 Hyper Observed Gene Hits 	 Hyper Total Genes 	 Hyper Gene Set Coverage
placenta development	295	9.902522E-49	3.50448575186441E-47	2.094682	489	0.01701225	253	5.66336988142292E-05	1.315413	109	137	0.009989003
tissue remodeling	371	2.270717E-37	6.38983436118598E-36	2.158883	346	0.01203729	813	0.049345822140221	1.226655	69	93	0.006323314
transforming growth factor beta receptor signaling pathway	372	4.016018E-37	1.12707601935484E-35	2.004234	411	0.01429864	288	0.000165929735	1.312157	100	126	0.009164223
embryonic placenta development	390	3.018324E-35	8.07982116923077E-34	2.129138	336	0.0116894	495	0.005233970618182	1.303203	67	85	0.006140029
response to reactive oxygen species	425	9.973957E-33	2.45007320188235E-31	2.015571	355	0.0123504	579	0.010820178279793	1.230376	96	129	0.008797654
platelet-derived growth factor receptor signaling pathway	453	1.444758E-30	3.32964095364238E-29	2.735198	176	0.006123017	703	0.026271346685633	1.432875	26	30	0.002382698
regulation of glucose metabolic process	478	2.251211E-29	4.91687088702929E-28	2.085919	291	0.01012385	395	0.001897238998481	1.326499	69	86	0.006323314
response to hydrogen peroxide	487	3.02487E-28	6.4845262422998E-27	2.164553	256	0.008906207	495	0.005233970618182	1.303203	67	85	0.006140029
regulation of fat cell differentiation	492	6.722142E-28	1.42640574146341E-26	2.05698	285	0.009915113	576	0.0105426074375	1.308876	57	72	0.005223607
JAK-STAT cascade	514	6.602682E-27	1.34108949571984E-25	2.460305	186	0.006470916	659	0.020390080424886	1.349647	40	49	0.003665689
positive regulation of epithelial cell migration	571	4.123444E-24	7.53918657793345E-23	2.001819	261	0.009080156	399	0.00191746927218	1.373525	54	65	0.00494868
regulation of ERBB signaling pathway	586	2.098813E-23	3.73918220477816E-22	2.050348	238	0.008279989	550	0.008981066945455	1.327664	53	66	0.004857038
regulation of protein depolymerization	611	1.334909E-22	2.28092470703764E-21	2.191457	196	0.006818814	712	0.026763130617978	1.311252	46	58	0.004215543
positive regulation of fibroblast proliferation	616	2.218414E-22	3.75977957142857E-21	2.330071	170	0.005914278	622	0.01524560081672	1.384173	36	43	0.00329912
regulation of epidermal growth factor receptor signaling pathway	620	3.358129E-22	5.65465592903226E-21	2.042286	227	0.0078973	613	0.014461486296901	1.317487	51	64	0.004673754
cellular response to mechanical stimulus	624	4.63754E-22	7.75896115384615E-21	2.206697	188	0.006540495	307	0.000290733426059	1.446653	49	56	0.004490469
regulation of fibroblast proliferation	628	6.322682E-22	1.05109554267516E-20	2.027707	228	0.00793209	737	0.032330767652646	1.283172	52	67	0.004765396
positive regulation of endothelial cell migration	636	1.045237E-21	1.71576639622641E-20	2.117483	203	0.007062343	745	0.033488661261745	1.336725	38	47	0.003482405
negative regulation of MAP kinase activity	660	5.558983E-21	8.79330038181818E-20	2.025332	218	0.007584191	459	0.00376848972549	1.352714	54	66	0.00494868
placenta blood vessel development	669	1.421811E-20	2.21879026008969E-19	2.595997	126	0.004383524	445	0.003229601096629	1.535223	26	28	0.002382698
epidermal growth factor receptor binding	152	1.475585E-10	3.58023518421053E-09	2.12873	89	0.003096298	61	0.002578369070164	1.653317	20	20	0.001832845
retinoid X receptor binding	167	9.662563E-10	2.13386421221557E-08	2.594223	54	0.001878653	95	0.033934988362105	1.653317	14	14	0.001282991
extracellular membrane-bounded organelle	51	5.670116E-41	1.4064111254902E-39	2.413043	301	0.01047175	42	0.000460033815476	1.374186	64	77	0.005865103
extracellular vesicular exosome	52	4.389836E-40	1.06791202692308E-38	2.409673	295	0.01026301	44	0.0008401552125	1.366742	62	75	0.005681818
actomyosin	96	5.52071E-19	7.27468557291667E-18	2.057137	188	0.006540495	72	0.029044277013889	1.322654	44	55	0.004032258
cell-cell adherens junction	104	2.483368E-17	3.02063511538462E-16	2.015219	179	0.006227387	86	0.04200261872093	1.345724	35	43	0.003207478
basal part of cell	119	4.107756E-15	4.36664818487395E-14	2.189968	126	0.004383524	87	0.041611593390805	1.377765	30	36	0.002749267
desmosome	173	2.451594E-09	1.7926395433526E-08	2.204564	71	0.002470081	85	0.040158243529412	1.495859	19	21	0.001741202
