Term Name 	 Binom Rank 	 Binom Raw P-Value 	  Binom FDR Q-Val  	 Binom Fold Enrichment 	 Binom Observed Region Hits 	 Binom Region Set Coverage 	 Hyper Rank 	  Hyper FDR Q-Val  	 Hyper Fold Enrichment 	 Hyper Observed Gene Hits 	 Hyper Total Genes 	 Hyper Gene Set Coverage
nucleic acid metabolic process	16	5.883809E-146	3.8391853725E-143	2.024954	1298	0.3350542	8	1.2746129445E-19	1.264365	1094	3799	0.2662448
gene expression	17	1.460122E-143	8.96686687058824E-141	2.07543	1224	0.3159525	2	1.83600189E-22	1.305281	1020	3431	0.2482356
RNA metabolic process	21	9.992377E-130	4.96763885142857E-127	2.062497	1140	0.2942695	6	1.97112768E-20	1.303224	943	3177	0.2294962
mRNA metabolic process	53	2.147687E-50	4.23053816603774E-48	2.808054	275	0.07098606	24	3.883212375E-11	1.568074	220	616	0.05354101
RNA processing	60	2.444643E-45	4.25367882E-43	2.614462	278	0.07176045	23	3.04078299652174E-11	1.546915	235	667	0.05719153
viral process	88	3.612951E-31	4.28627368636364E-29	2.319328	237	0.06117708	58	0.00031168404	1.355392	188	609	0.04575322
multi-organism cellular process	90	6.680199E-31	7.74903084E-29	2.309093	237	0.06117708	59	0.000387552441356	1.350956	188	611	0.04575322
symbiosis, encompassing mutualism through parasitism	101	1.747411E-29	1.80623473663366E-27	2.206565	248	0.06401652	85	0.003402322305882	1.291738	198	673	0.04818691
heterocycle catabolic process	106	5.640162E-28	5.55502747924528E-26	2.0498	277	0.07150232	104	0.009150509423077	1.251209	220	772	0.05354101
nucleobase-containing compound catabolic process	108	7.081364E-28	6.84531853333333E-26	2.082646	266	0.06866288	101	0.007435851754455	1.263051	210	730	0.05110733
cellular nitrogen compound catabolic process	112	3.057402E-27	2.84993543571429E-25	2.032557	275	0.07098606	113	0.011709855079646	1.245522	219	772	0.05329764
organic cyclic compound catabolic process	114	4.485581E-27	4.10784786315789E-25	2.000303	284	0.07330924	125	0.022171611744	1.226548	226	809	0.05500122
posttranscriptional regulation of gene expression	115	5.980126E-27	5.42891438608696E-25	2.446047	184	0.04749613	46	4.71434540869565E-06	1.529559	139	399	0.03382818
aromatic compound catabolic process	117	1.245895E-26	1.11172169230769E-24	2.016007	274	0.07072793	121	0.020804176264463	1.233443	218	776	0.05305427
cellular response to DNA damage stimulus	118	1.252326E-26	1.1079901220339E-24	2.172032	231	0.05962829	79	0.002649681250633	1.312877	183	612	0.04453638
mRNA processing	121	3.372296E-26	2.90965043305785E-24	2.50451	171	0.04414042	47	6.46688251914894E-06	1.517342	141	408	0.03431492
ribonucleoprotein complex biogenesis	133	1.16985E-24	9.18288270676692E-23	2.919227	124	0.03200826	38	4.51775614736842E-08	1.766336	105	261	0.02555366
mRNA catabolic process	142	1.041618E-23	7.65809290140845E-22	3.469561	93	0.0240062	66	0.00084863628	1.637577	69	185	0.01679241
cellular macromolecule catabolic process	143	1.293671E-23	9.44470296503497E-22	2.005887	245	0.06324213	122	0.020828458918033	1.246406	199	701	0.04843028
RNA catabolic process	147	3.805418E-23	2.70262339591837E-21	3.204421	101	0.02607124	77	0.002600138945455	1.55328	75	212	0.01825262
RNA binding	11	4.457055E-50	1.49432898545455E-47	2.365883	367	0.09473412	2	4.078444872E-11	1.471603	304	907	0.07398394
ribonucleoprotein complex binding	53	1.129075E-10	7.85665773584906E-09	3.641565	36	0.009292721	18	0.033027023466667	1.943383	27	61	0.006570942
translation factor activity, nucleic acid binding	65	4.17176E-09	2.36699244307692E-07	2.779317	44	0.01135777	23	0.045547377252174	1.710025	37	95	0.009004624
single-stranded RNA binding	83	5.46013E-07	2.42613969156626E-05	2.943405	29	0.007485803	9	0.005420114275556	2.290751	24	46	0.005840837
ATP-dependent helicase activity	84	5.68621E-07	2.49651696190476E-05	2.322594	44	0.01135777	21	0.042339451771429	1.66131	42	111	0.01022147
nuclear part	15	3.922147E-93	3.30767730333333E-91	2.02801	890	0.2297367	9	2.18530155555556E-18	1.326773	747	2472	0.1817961
nuclear lumen	19	1.020888E-80	6.79696484210526E-79	2.054972	763	0.1969541	10	8.17654002E-17	1.34544	638	2082	0.1552689
nucleoplasm	24	8.066232E-57	4.25157645E-55	2.08904	533	0.1375839	16	6.56813141875E-14	1.388297	449	1420	0.1092723
mitochondrion	25	1.964523E-53	9.94048638E-52	2.041389	529	0.1365514	22	1.803278775E-06	1.245758	450	1586	0.1095157
ribonucleoprotein complex	26	3.71542E-49	1.80769473076923E-47	2.802972	269	0.06943727	19	4.20939202894737E-11	1.540197	221	630	0.05378438
nucleolus	29	1.942981E-25	8.47541712068966E-24	2.086668	241	0.0622096	25	3.476345994E-05	1.35612	202	654	0.04916038
perinuclear region of cytoplasm	36	8.279639E-21	2.90937314861111E-19	2.052573	203	0.05240062	33	0.0020401046	1.330487	150	495	0.03650523
spliceosomal complex	42	1.358108E-16	4.09049195238095E-15	3.06735	75	0.01935983	27	0.000454771341852	1.682115	59	154	0.01435872
catalytic step 2 spliceosome	46	1.609854E-15	4.4270985E-14	4.243827	46	0.01187403	32	0.001932976925	1.889628	34	79	0.008274519
nuclear body	62	2.346636E-11	4.78789441935484E-10	2.015757	109	0.02813629	38	0.010629588605263	1.380324	94	299	0.02287661
viral capsid	65	5.819533E-11	1.13257065307692E-09	4.514754	29	0.007485803	29	0.001542772625862	2.373301	20	37	0.004867364
virion part	67	7.237842E-11	1.36654778059702E-09	4.205515	31	0.008002065	36	0.005533471930556	2.144249	21	43	0.005110733
viral nucleocapsid	72	4.513452E-10	7.92988441666667E-09	4.399909	27	0.006969541	37	0.006891508027027	2.258026	18	35	0.004380628
