Term Name 	 Binom Rank 	 Binom Raw P-Value 	  Binom FDR Q-Val  	 Binom Fold Enrichment 	 Binom Observed Region Hits 	 Binom Region Set Coverage 	 Hyper Rank 	  Hyper FDR Q-Val  	 Hyper Fold Enrichment 	 Hyper Observed Gene Hits 	 Hyper Total Genes 	 Hyper Gene Set Coverage
regulation of stem cell differentiation	318	1.220485E-38	4.00687528301887E-37	2.129683	370	0.01159802	476	0.003183513504202	1.231299	68	74	0.005050505
regulation of epithelial to mesenchymal transition	446	2.664481E-27	6.23703624215247E-26	2.239494	229	0.007178233	594	0.009171181454545	1.276137	40	42	0.002970885
maintenance of protein location in cell	486	1.15817E-24	2.48792074074074E-23	2.003511	267	0.008369381	405	0.001096694417778	1.230878	79	86	0.005867499
positive regulation of cell morphogenesis involved in differentiation	514	4.428236E-23	8.99431592217899E-22	2.310003	179	0.005610933	773	0.039040359741268	1.263375	33	35	0.00245098
blastocyst development	523	1.192516E-22	2.38047170936902E-21	2.046185	231	0.007240925	588	0.009117056693878	1.221713	62	68	0.004604872
positive regulation of DNA replication	597	2.38914E-20	4.1779935678392E-19	2.065127	201	0.006300545	522	0.005047014	1.262639	49	52	0.003639335
regulation of cardiac muscle tissue growth	617	1.528662E-19	2.58658529659643E-18	2.089128	187	0.005861701	800	0.04792749525	1.261123	32	34	0.002376708
viral gene expression	658	3.335974E-18	5.29294355015198E-17	2.037028	184	0.005767663	302	4.60062452980132E-05	1.255316	89	95	0.00661022
extrinsic apoptotic signaling pathway	738	2.705076E-16	3.82669287804878E-15	2.020951	166	0.005203436	745	0.030582543624161	1.218131	50	55	0.003713607
regulation of mRNA stability	771	1.345023E-15	1.82127628015564E-14	2.118004	141	0.004419786	448	0.002116619582143	1.307262	40	41	0.002970885
regulation of transcription from RNA polymerase II promoter in response to stress	780	2.176796E-15	2.91355772307692E-14	2.164986	132	0.004137672	531	0.005246345762712	1.303729	36	37	0.002673797
regulation of DNA-dependent transcription in response to stress	785	2.532207E-15	3.36767402292994E-14	2.081901	144	0.004513824	430	0.001682032102326	1.30804	41	42	0.003045157
regulation of transcription from RNA polymerase II promoter in response to hypoxia	814	6.459745E-15	8.28498007371007E-14	2.316641	110	0.00344806	533	0.00537593795122	1.339944	28	28	0.00207962
regulation of RNA stability	828	1.285531E-14	1.62088691304348E-13	2.031746	145	0.00454517	708	0.024131013050848	1.248584	41	44	0.003045157
mRNA stabilization	837	2.184533E-14	2.72479384946237E-13	2.44216	95	0.00297787	805	0.048655639453416	1.290316	26	27	0.001931075
hippo signaling cascade	893	3.148122E-13	3.6804472206047E-12	2.193383	108	0.003385368	648	0.014281982833333	1.339944	24	24	0.001782531
GPI anchor biosynthetic process	1202	1.257331E-09	1.09205787354409E-08	2.17408	76	0.002382296	661	0.015971067776097	1.29807	31	32	0.002302436
GPI anchor metabolic process	1211	1.36123E-09	1.17351289843105E-08	2.122221	80	0.00250768	800	0.04792749525	1.261123	32	34	0.002376708
C-terminal protein lipidation	1365	2.092358E-08	1.60030897582418E-07	2.212589	62	0.001943452	614	0.011243769478827	1.339944	25	25	0.001856803
maintenance of protein localization in organelle	1506	1.383878E-07	9.59341721115538E-07	2.153636	58	0.001818068	673	0.018434170163447	1.339944	23	23	0.001708259
extracellular membrane-bounded organelle	74	4.697461E-26	8.03011914189189E-25	2.015265	279	0.008745533	110	0.00319978185	1.218131	70	77	0.005199049
extracellular vesicular exosome	75	1.17119E-25	1.97540713333333E-24	2.016582	274	0.008588803	122	0.004327041372951	1.214882	68	75	0.005050505
large ribosomal subunit	124	4.977475E-15	5.07782731854839E-14	2.057556	145	0.00454517	63	1.70652234761905E-05	1.286346	72	75	0.005347594
cytosolic large ribosomal subunit	140	8.81372E-12	7.96382557142857E-11	2.121616	102	0.003197292	107	0.002349823803738	1.264098	50	53	0.003713607
pre-autophagosomal structure	169	1.218982E-09	9.12433272189349E-09	2.305758	67	0.002100182	169	0.038494062278107	1.339944	18	18	0.001336898
nucleolar part	180	6.021284E-09	4.23162458888889E-08	2.116736	74	0.002319604	123	0.004686165760163	1.301659	34	35	0.002525253
COPI-coated vesicle	227	2.558417E-07	1.42572577312775E-06	2.161227	55	0.00172403	169	0.038494062278107	1.339944	18	18	0.001336898
U12-type spliceosomal complex	228	2.602105E-07	1.44371176535088E-06	2.126804	57	0.001786722	134	0.008368521593284	1.339944	24	24	0.001782531
