Term Name 	 Binom Rank 	 Binom Raw P-Value 	  Binom FDR Q-Val  	 Binom Fold Enrichment 	 Binom Observed Region Hits 	 Binom Region Set Coverage 	 Hyper Rank 	  Hyper FDR Q-Val  	 Hyper Fold Enrichment 	 Hyper Observed Gene Hits 	 Hyper Total Genes 	 Hyper Gene Set Coverage
negative regulation of transferase activity	228	1.139875E-142	5.21942763157895E-141	2.327266	1160	0.02436616	391	0.000559317259335	1.125613	181	195	0.01216643
negative regulation of phosphorylation	229	8.730146E-142	3.98003162620087E-140	2.119711	1412	0.0296595	480	0.00571375545	1.097897	220	243	0.01478793
negative regulation of kinase activity	239	2.167579E-134	9.46842040167364E-133	2.320593	1099	0.02308484	441	0.001867600236735	1.120408	170	184	0.01142704
negative regulation of protein phosphorylation	250	1.991077E-128	8.314737552E-127	2.095467	1314	0.02760098	551	0.019035435789474	1.09088	206	229	0.01384688
negative regulation of protein kinase activity	264	1.506428E-121	5.957238E-120	2.280693	1030	0.02163547	447	0.002283532324832	1.122075	161	174	0.01082207
transforming growth factor beta receptor signaling pathway	382	5.386427E-85	1.47210203874346E-83	2.225895	756	0.01588002	318	0.000113412543396	1.164555	121	126	0.00813336
cellular response to external stimulus	395	2.642862E-82	6.9851846278481E-81	2.029797	907	0.01905182	369	0.000463159707317	1.131832	168	180	0.0112926
intrinsic apoptotic signaling pathway	466	5.616718E-65	1.2583376806867E-63	2.087204	666	0.01398954	270	3.25913290666667E-05	1.167763	130	135	0.008738321
cellular response to extracellular stimulus	498	2.038969E-58	4.27446513253012E-57	2.034061	636	0.01335938	374	0.000505867966845	1.154469	119	125	0.007998925
cellular response to nutrient levels	561	2.627907E-49	4.89043655614973E-48	2.048088	525	0.01102779	410	0.000872574436098	1.16465	97	101	0.006520132
positive regulation of mitochondrion organization	597	2.311879E-45	4.04288387939699E-44	2.536549	305	0.006406621	401	0.000769078351122	1.212677	54	54	0.003629764
macromolecular complex disassembly	602	7.349959E-45	1.27464405249169E-43	2.071355	463	0.009725461	280	4.30836055714286E-05	1.167088	128	133	0.008603885
regulation of ERBB signaling pathway	626	2.490286E-43	4.1531287284345E-42	2.14301	412	0.00865419	580	0.029110788	1.157556	63	66	0.004234725
regulation of epidermal growth factor receptor signaling pathway	646	2.118075E-42	3.42301904024768E-41	2.15654	397	0.00833911	609	0.037442348571429	1.155833	61	64	0.004100289
protein complex disassembly	654	9.205235E-42	1.46945953211009E-40	2.066948	432	0.009074296	313	9.86242451118211E-05	1.164934	122	127	0.008200578
ER-nucleus signaling pathway	676	1.994703E-40	3.08057682248521E-39	2.08687	408	0.008570168	186	4.85519609032258E-07	1.212677	96	96	0.006452914
protein localization to endoplasmic reticulum	684	1.56983E-39	2.39605631578947E-38	2.008806	438	0.009200328	223	5.10828731838565E-06	1.183573	122	125	0.008200578
cellular protein complex disassembly	685	1.605136E-39	2.44636785985401E-38	2.151179	371	0.007792972	292	6.913107E-05	1.178992	105	108	0.007057875
regulation of mitochondrion organization	691	2.520966E-39	3.80881114905933E-38	2.087713	396	0.008318104	395	0.00058782908962	1.1831	80	82	0.005377428
viral gene expression	724	7.532334E-37	1.08615423977901E-35	2.270114	306	0.006427626	300	8.25159504E-05	1.187147	93	95	0.00625126
oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor	85	5.064307E-50	2.19731343717647E-48	2.049454	532	0.01117483	115	0.020838967033044	1.129759	109	117	0.007326746
GDP binding	161	3.63884E-23	8.33542976397516E-22	2.056944	234	0.004915244	126	0.043930899873016	1.186315	45	46	0.003024803
PML body	119	6.178978E-37	6.56840938655462E-36	2.006764	409	0.008591174	98	0.001488326714286	1.168846	80	83	0.005377428
cytosolic ribosome	144	8.80497E-29	7.7349215625E-28	2.060833	294	0.006175562	76	0.000234671315132	1.174781	93	96	0.00625126
large ribosomal subunit	148	4.561575E-26	3.89891376689189E-25	2.187049	230	0.004831222	72	0.000151650009653	1.196508	74	75	0.004974121
cytosolic large ribosomal subunit	150	2.18251E-25	1.84058343333333E-24	2.453162	176	0.003696935	109	0.005121588091743	1.189797	52	53	0.003495328
nucleolar part	186	5.169982E-17	3.51614367204301E-16	2.357692	123	0.002583654	126	0.011683851230159	1.212677	35	35	0.002352625
