Term Name 	 Binom Rank 	 Binom Raw P-Value 	  Binom FDR Q-Val  	 Binom Fold Enrichment 	 Binom Observed Region Hits 	 Binom Region Set Coverage 	 Hyper Rank 	  Hyper FDR Q-Val  	 Hyper Fold Enrichment 	 Hyper Observed Gene Hits 	 Hyper Total Genes 	 Hyper Gene Set Coverage
negative regulation of MAPK cascade	432	1.143854E-52	2.76431383333333E-51	2.013944	586	0.01268865	432	0.001693663558333	1.149673	105	110	0.007009814
ER-nucleus signaling pathway	597	1.527947E-35	2.67198771859296E-34	2.024674	384	0.008314748	459	0.002808541960784	1.154235	92	96	0.006141932
nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	612	1.916095E-34	3.26863264705882E-33	2.025814	371	0.008033259	388	0.000512515206186	1.153814	114	119	0.007610655
cellular protein complex disassembly	636	1.416498E-32	2.32519483018868E-31	2.044172	342	0.007405322	678	0.047790485840708	1.115203	100	108	0.006676013
positive regulation of nuclease activity	669	8.682285E-31	1.35490366816144E-29	2.237981	261	0.00565143	427	0.001362200931148	1.186443	66	67	0.004406169
viral gene expression	687	1.261035E-29	1.91633266375546E-28	2.13363	279	0.006041184	542	0.011001635402214	1.141029	90	95	0.006008412
activation of signaling protein activity involved in unfolded protein response	696	2.602974E-29	3.904461E-28	2.220538	252	0.005456553	439	0.001871096990433	1.18589	64	65	0.004272648
regulation of nuclease activity	701	5.230861E-29	7.790326510699E-28	2.129669	274	0.005932919	468	0.003482837538462	1.171422	71	73	0.004739969
endoplasmic reticulum unfolded protein response	704	7.366363E-29	1.09239814943182E-27	2.014574	312	0.006755733	549	0.011516810885246	1.147741	81	85	0.005407571
regulation of DNA-dependent transcription in response to stress	751	5.25747E-27	7.30865336884155E-26	2.247067	225	0.004871923	518	0.008080898594595	1.20442	42	42	0.002803925
translational termination	765	1.450377E-26	1.97933802352941E-25	2.096057	259	0.005608124	616	0.021729843116883	1.136756	84	89	0.005607851
ribonucleoside monophosphate biosynthetic process	770	2.441093E-26	3.30974167792208E-25	2.020209	281	0.00608449	538	0.010170486936803	1.156877	73	76	0.00487349
viral transcription	805	6.796058E-25	8.81376962981367E-24	2.105445	239	0.005175064	650	0.034907151876923	1.133571	80	85	0.00534081
regulation of transcription from RNA polymerase II promoter in response to stress	830	2.994231E-24	3.76623754698795E-23	2.254602	199	0.004308945	594	0.01790003030303	1.20442	37	37	0.002470125
purine ribonucleoside monophosphate biosynthetic process	962	1.673073E-20	1.81568421205821E-19	2.086094	198	0.004287292	597	0.018334511155779	1.16493	59	61	0.003938848
regulation of RNA stability	994	1.753891E-19	1.84211489336016E-18	2.003584	207	0.004482169	499	0.005777152881764	1.20442	44	44	0.002937446
protein complex localization	1028	1.212858E-18	1.23173516731518E-17	2.008417	196	0.004243986	578	0.015266943031142	1.20442	38	38	0.002536885
regulation of mRNA stability	1046	2.92139E-18	2.91580416826004E-17	2.00263	193	0.004179027	528	0.009552906477273	1.20442	41	41	0.002737165
phosphatidylglycerol metabolic process	1100	3.104078E-17	2.94605221090909E-16	2.26238	136	0.002944807	647	0.034635982812983	1.20442	33	33	0.002203084
cytoplasmic pattern recognition receptor signaling pathway	1201	7.93691E-16	6.89936223147377E-15	2.020198	161	0.003486131	631	0.029475561394612	1.20442	34	34	0.002269844
nucleolar part	184	3.050622E-14	2.097302625E-13	2.232796	113	0.002446788	116	0.016124191637931	1.20442	35	35	0.002336605
