Term Name 	 Binom Rank 	 Binom Raw P-Value 	  Binom FDR Q-Val  	 Binom Fold Enrichment 	 Binom Observed Region Hits 	 Binom Region Set Coverage 	 Hyper Rank 	  Hyper FDR Q-Val  	 Hyper Fold Enrichment 	 Hyper Observed Gene Hits 	 Hyper Total Genes 	 Hyper Gene Set Coverage
negative regulation of transferase activity	213	1.538059E-81	7.53865538028169E-80	2.175879	759	0.02278116	300	1.67243754E-05	1.189019	174	195	0.01285176
negative regulation of kinase activity	243	4.46149E-69	1.9167882962963E-67	2.099982	696	0.02089024	355	9.69597796056338E-05	1.18044	163	184	0.01203929
negative regulation of protein kinase activity	246	5.327081E-69	2.26076120487805E-67	2.129363	673	0.0201999	378	0.000192616729524	1.179358	154	174	0.01137455
transforming growth factor beta receptor signaling pathway	375	6.57347E-43	1.830054048E-41	2.00681	477	0.01431702	351	8.41109158974359E-05	1.21619	115	126	0.00849398
negative regulation of protein serine/threonine kinase activity	399	6.676967E-41	1.74705602706767E-39	2.126779	394	0.01182579	644	0.023393964968944	1.169355	86	98	0.00635202
regulation of DNA replication	400	7.242237E-41	1.890223857E-39	2.11006	401	0.0120359	532	0.008049383255639	1.17646	98	111	0.007238348
maintenance of location in cell	406	1.383854E-39	3.55848171428571E-38	2.224588	344	0.01032506	514	0.005884053058366	1.193717	86	96	0.00635202
regulation of cell cycle arrest	408	2.176327E-39	5.56883673529412E-38	2.338066	308	0.00924453	321	3.27388642990654E-05	1.250938	92	98	0.006795184
nuclear-transcribed mRNA catabolic process	419	2.409958E-38	6.00476408591886E-37	2.001815	427	0.01281628	114	7.13799925263158E-15	1.301888	170	174	0.01255632
positive regulation of cell cycle arrest	438	1.207715E-36	2.87866315068493E-35	2.40409	270	0.008103971	373	0.000174735091689	1.252249	78	83	0.005761135
maintenance of protein location in cell	439	1.217871E-36	2.89625814123007E-35	2.241749	312	0.009364589	495	0.004342495854545	1.208565	78	86	0.005761135
signal transduction by p53 class mediator	469	1.113046E-34	2.47765463539446E-33	2.068985	354	0.01062521	387	0.000251052190698	1.210373	109	120	0.008050816
negative regulation of protein ubiquitination	490	1.309339E-33	2.78969370612245E-32	2.164523	308	0.00924453	216	7.725861E-08	1.292941	98	101	0.007238348
cell aging	515	1.264258E-32	2.56288417864078E-31	2.281155	266	0.007983912	522	0.0067564	1.230019	60	65	0.004431642
maintenance of protein location	541	3.016216E-31	5.8205720961183E-30	2.014246	339	0.01017499	687	0.037683521921397	1.159293	87	100	0.006425881
mitotic DNA integrity checkpoint	548	6.550472E-31	1.24793663649635E-29	2.286492	250	0.007503677	310	2.34738516774193E-05	1.269814	81	85	0.005982717
mitotic DNA damage checkpoint	549	6.658164E-31	1.26614266229508E-29	2.303844	246	0.007383618	327	4.59245383486238E-05	1.26752	78	82	0.005761135
signal transduction in response to DNA damage	555	9.879234E-31	1.8583640172973E-29	2.126211	292	0.008764295	352	8.83443773863636E-05	1.239244	93	100	0.006869045
regulation of cyclin-dependent protein serine/threonine kinase activity	563	4.131881E-30	7.6619605044405E-29	2.091777	297	0.008914368	337	6.09738441543027E-05	1.256809	83	88	0.006130438
viral gene expression	599	7.318637E-29	1.27556878597663E-27	2.342736	221	0.00663325	206	3.5634760776699E-08	1.304468	93	95	0.006869045
structural constituent of ribosome	70	3.422628E-43	1.80323600914286E-41	2.243082	370	0.01110544	37	4.20416948972973E-13	1.298998	155	159	0.01144841
protein tyrosine/serine/threonine phosphatase activity	94	7.363442E-26	2.88897596765957E-24	2.369824	192	0.005762824	155	0.046776569548387	1.241667	41	44	0.003028289
cis-trans isomerase activity	146	7.834825E-17	1.97909826027397E-15	2.242022	135	0.004051985	108	0.001719497217778	1.302236	43	44	0.00317601
peptidyl-prolyl cis-trans isomerase activity	150	1.3579E-16	3.33862346666667E-15	2.264852	130	0.003901912	114	0.002773347854737	1.300794	41	42	0.003028289
NAD binding	151	1.584656E-16	3.87033862781457E-15	2.085905	156	0.004682294	125	0.0070074242304	1.274585	44	46	0.003249871
DNA-directed RNA polymerase activity	168	3.269514E-15	7.17736168571429E-14	2.321278	112	0.003361647	88	0.000179508077545	1.332521	43	43	0.00317601
cell-substrate junction	50	1.673453E-68	4.23383609E-67	2.22053	608	0.01824894	166	0.032956298192771	1.126074	120	142	0.008863284
focal adhesion	53	7.705017E-62	1.83902764245283E-60	2.218055	549	0.01647807	154	0.020679185	1.139254	112	131	0.008272398
cell-substrate adherens junction	56	9.053451E-60	2.04510991339286E-58	2.176336	553	0.01659813	172	0.041413680319768	1.12524	114	135	0.00842012
ribosome	71	6.641137E-46	1.18324483169014E-44	2.029935	497	0.01491731	39	8.17494248717949E-17	1.284717	215	223	0.01588005
melanosome	79	4.274519E-42	6.84464118354431E-41	2.232349	364	0.01092535	106	0.000496751895283	1.219115	86	94	0.00635202
midbody	92	3.651505E-33	5.020819375E-32	2.03453	352	0.01056518	72	4.45623306944444E-06	1.255645	98	104	0.007238348
ribosomal subunit	105	4.875843E-29	5.8742299E-28	2.064521	295	0.008854339	49	3.22779465306122E-10	1.283889	132	137	0.009749612
endoplasmic reticulum-Golgi intermediate compartment	127	2.743092E-24	2.73229242519685E-23	2.092149	236	0.007083471	100	0.000230087308	1.270059	61	64	0.004505503
late endosome membrane	128	5.078739E-24	5.01922252734375E-23	2.005297	259	0.007773809	102	0.000317884454412	1.22888	83	90	0.006130438
cytosolic ribosome	141	4.637146E-22	4.16027637588653E-21	2.10339	210	0.006303089	67	8.87778321641791E-07	1.276999	92	96	0.006795184
large ribosomal subunit	158	1.890246E-18	1.51339315822785E-17	2.17398	160	0.004802353	61	2.29175280327869E-07	1.314754	74	75	0.005465692
SAGA-type complex	160	2.489519E-18	1.968275959375E-17	2.921846	91	0.002731338	164	0.032963462560976	1.283168	26	27	0.001920378
pre-autophagosomal structure	162	4.63265E-18	3.61747052469136E-17	2.93279	89	0.002671309	173	0.041561041213873	1.332521	18	18	0.001329493
cytosolic large ribosomal subunit	167	4.595093E-17	3.48071415868263E-16	2.390011	120	0.003601765	89	6.39098183146067E-05	1.307379	52	53	0.003840756
DNA packaging complex	170	7.409491E-17	5.51353300882353E-16	2.110905	155	0.00465228	163	0.032392063404908	1.145719	92	107	0.006795184
proteasome accessory complex	178	7.739122E-16	5.49999400561798E-15	3.007141	74	0.002221088	144	0.011863108506945	1.332521	23	23	0.001698796
proton-transporting two-sector ATPase complex	180	9.620986E-16	6.76141516111111E-15	2.334888	115	0.003451691	149	0.018092709194631	1.225919	46	50	0.003397592
nucleolar part	210	2.213318E-12	1.3332606047619E-11	2.355512	86	0.002581265	107	0.000506228054673	1.332521	35	35	0.002585124
Cajal body	227	8.178954E-11	4.55787524669604E-10	2.124499	92	0.002761353	114	0.001616208385965	1.299208	39	40	0.002880567
nuclear chromosome, telomeric region	258	1.495159E-08	7.33091525193798E-08	2.104594	71	0.002131044	135	0.007120366407407	1.332521	25	25	0.001846517
