Term Name 	 Binom Rank 	 Binom Raw P-Value 	  Binom FDR Q-Val  	 Binom Fold Enrichment 	 Binom Observed Region Hits 	 Binom Region Set Coverage 	 Hyper Rank 	  Hyper FDR Q-Val  	 Hyper Fold Enrichment 	 Hyper Observed Gene Hits 	 Hyper Total Genes 	 Hyper Gene Set Coverage
negative regulation of transferase activity	323	1.585978E-85	5.12619514551084E-84	2.004343	973	0.0209852	302	9.27794503311258E-05	1.128268	185	195	0.01219512
negative regulation of MAPK cascade	489	1.83667E-52	3.92123411042945E-51	2.009418	587	0.01266014	444	0.004633065081081	1.135198	105	110	0.006921556
response to unfolded protein	517	9.024457E-49	1.82234682940039E-47	2.035502	527	0.01136609	203	8.32207371428571E-07	1.171894	135	137	0.008899143
response to topologically incorrect protein	521	9.622101E-48	1.92811390479846E-46	2.004295	536	0.01156019	216	2.04162706666667E-06	1.16465	142	145	0.00936058
polyol metabolic process	552	5.989704E-45	1.13283532173913E-43	2.006655	502	0.0108269	618	0.049171099223301	1.116444	92	98	0.006064601
ER-nucleus signaling pathway	622	1.252737E-39	2.10266467524116E-38	2.090208	398	0.008583876	331	0.000329505955287	1.164479	94	96	0.00619644
nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	645	1.399801E-37	2.26572440930233E-36	2.077646	382	0.008238796	450	0.00533470544	1.129293	113	119	0.007448912
TRIF-dependent toll-like receptor signaling pathway	669	1.533296E-35	2.39276685201794E-34	2.010266	391	0.008432903	359	0.000705441559889	1.17381	76	77	0.005009888
protein targeting to ER	671	1.885014E-35	2.93286828017884E-34	2.033099	379	0.008174093	587	0.033680667189097	1.114257	104	111	0.006855636
establishment of protein localization to endoplasmic reticulum	683	9.632423E-35	1.47236451127379E-33	2.011862	381	0.008217228	577	0.030581926377816	1.114927	105	112	0.006921556
endoplasmic reticulum unfolded protein response	766	8.028946E-30	1.0942845462141E-28	2.032349	316	0.006815339	394	0.001493153177665	1.161273	83	85	0.005471325
cellular response to unfolded protein	787	8.036216E-29	1.06604949224905E-27	2.000994	317	0.006836906	387	0.001305763981395	1.161598	84	86	0.005537245
positive regulation of nuclease activity	835	4.179551E-27	5.22569011257485E-26	2.14374	251	0.00541345	422	0.003004038255924	1.171505	66	67	0.004350692
regulation of nuclease activity	849	1.746763E-26	2.14796298233216E-25	2.06707	267	0.00575853	470	0.007592738782979	1.156673	71	73	0.00468029
activation of signaling protein activity involved in unfolded protein response	868	5.243276E-26	6.30642873732719E-25	2.132782	243	0.005240909	435	0.0040126872	1.170959	64	65	0.004218853
regulation of RNA stability	880	8.68235E-26	1.03004243181818E-24	2.188495	227	0.004895829	491	0.010261252741344	1.189255	44	44	0.002900461
regulation of viral transcription	883	1.068566E-25	1.26340079728199E-24	2.11743	244	0.005262477	530	0.0162974664	1.153755	65	67	0.004284773
regulation of mRNA stability	928	2.929746E-24	3.29596425E-23	2.191098	212	0.004572316	527	0.016101705108159	1.189255	41	41	0.002702703
positive regulation of mitochondrion organization	965	3.332967E-23	3.60582129326425E-22	2.040857	239	0.005154639	539	0.018496759124304	1.167232	53	54	0.003493738
intrinsic apoptotic signaling pathway in response to DNA damage	1085	3.870762E-20	3.72449357419355E-19	2.00232	215	0.004637019	567	0.02811909968254	1.165936	50	51	0.003295979
cell-substrate junction	70	3.491155E-71	6.30901582142857E-70	2.036485	776	0.0167364	98	0.005943856790816	1.11388	133	142	0.008767304
focal adhesion	71	8.27112E-68	1.47365729577465E-66	2.067027	712	0.01535608	89	0.002533351539326	1.125707	124	131	0.008174028
cell-substrate adherens junction	74	4.091459E-66	6.99418329054054E-65	2.036102	720	0.01552862	93	0.004773892365591	1.118781	127	135	0.008371786
melanosome	90	8.570774E-54	1.20466990111111E-52	2.181384	495	0.01067593	82	0.001363049070122	1.1513	91	94	0.005998682
brush border membrane	144	1.187779E-25	1.04343085763889E-24	2.174533	229	0.004938964	110	0.013230934	1.189255	39	39	0.002570864
large ribosomal subunit	165	8.122107E-21	6.2269487E-20	2.050318	210	0.004529181	129	0.046642413178295	1.125828	71	75	0.00468029
nucleolar part	183	7.649622E-18	5.28785345901639E-17	2.420797	123	0.002652806	119	0.024502093277311	1.189255	35	35	0.002307185
