Term Name 	 Binom Rank 	 Binom Raw P-Value 	  Binom FDR Q-Val  	 Binom Fold Enrichment 	 Binom Observed Region Hits 	 Binom Region Set Coverage 	 Hyper Rank 	  Hyper FDR Q-Val  	 Hyper Fold Enrichment 	 Hyper Observed Gene Hits 	 Hyper Total Genes 	 Hyper Gene Set Coverage
translation	195	1.995962E-49	1.06860734769231E-47	2.021799	538	0.02724878	54	4.085665E-25	1.316774	338	361	0.02634861
ribonucleoprotein complex biogenesis	244	2.649443E-39	1.13361413606557E-37	2.004751	434	0.02198136	60	9.48293736E-23	1.347104	250	261	0.01948862
mRNA catabolic process	278	2.486035E-35	9.33604510791367E-34	2.225306	304	0.01539708	108	7.1047361E-16	1.34556	177	185	0.01379794
RNA splicing, via transesterification reactions	281	3.000543E-35	1.11479248825623E-33	2.126185	336	0.01701783	94	5.80218437872341E-17	1.338762	198	208	0.01543499
nuclear-transcribed mRNA catabolic process	287	1.730194E-34	6.2938067456446E-33	2.262522	286	0.01448541	109	2.17996682201835E-15	1.349798	167	174	0.0130184
mRNA splicing, via spliceosome	291	3.660497E-34	1.31325047010309E-32	2.121059	327	0.01656199	99	2.41829101818182E-16	1.337097	193	203	0.01504521
ncRNA processing	304	1.795792E-33	6.16712778947369E-32	2.072875	338	0.01711912	93	3.99065744516129E-17	1.330697	211	223	0.01644839
RNA catabolic process	305	5.276184E-33	1.8060118347541E-31	2.072989	333	0.01686588	111	5.17531115675676E-15	1.320137	199	212	0.01551294
viral life cycle	306	8.138584E-33	2.77669336470588E-31	2.349348	251	0.01271272	184	5.15079074347826E-10	1.312618	140	150	0.01091363
macromolecular complex disassembly	337	6.543463E-30	2.0271143537092E-28	2.383974	221	0.01119327	266	7.29059345864662E-07	1.279486	121	133	0.009432491
viral gene expression	358	9.505719E-28	2.77205883687151E-26	2.77264	155	0.007850486	228	3.50965234736842E-08	1.347161	91	95	0.007093857
protein complex disassembly	364	1.887389E-27	5.41328053846154E-26	2.365023	205	0.0103829	302	2.86264246887417E-06	1.273491	115	127	0.008964765
ribosome biogenesis	380	3.990622E-26	1.09637088631579E-24	2.103944	251	0.01271272	158	1.03901787341772E-11	1.326267	149	158	0.01161522
