Term Name 	 Binom Rank 	 Binom Raw P-Value 	  Binom FDR Q-Val  	 Binom Fold Enrichment 	 Binom Observed Region Hits 	 Binom Region Set Coverage 	 Hyper Rank 	  Hyper FDR Q-Val  	 Hyper Fold Enrichment 	 Hyper Observed Gene Hits 	 Hyper Total Genes 	 Hyper Gene Set Coverage
in utero embryonic development	173	9.269526E-53	5.5938642450867E-51	2.124259	505	0.04402406	161	1.38641449192547E-05	1.306052	202	352	0.02548253
negative regulation of cellular protein metabolic process	174	9.652059E-53	5.7912354E-51	2.02511	565	0.04925464	111	1.67243721081081E-07	1.306709	271	472	0.03418696
negative regulation of protein modification process	195	7.622904E-49	4.08118552615385E-47	2.136479	461	0.0401883	112	1.67307804642857E-07	1.35053	216	364	0.02724864
negative regulation of phosphorylation	210	9.407853E-45	4.67704692E-43	2.280303	366	0.03190655	88	6.39310958181818E-09	1.470433	157	243	0.01980573
negative regulation of protein phosphorylation	211	3.207717E-44	1.58713580473934E-42	2.316451	350	0.03051173	94	2.0483302212766E-08	1.470883	148	229	0.01867037
negative regulation of phosphate metabolic process	215	3.069637E-42	1.49055861767442E-40	2.114484	407	0.03548078	132	1.29632135454545E-06	1.367089	176	293	0.0222026
negative regulation of kinase activity	226	1.427002E-38	6.59199153982301E-37	2.427452	277	0.02414785	98	2.78011127755102E-08	1.521385	123	184	0.01551659
negative regulation of transferase activity	240	7.670229E-37	3.336549615E-35	2.348046	282	0.02458373	105	6.94988314285714E-08	1.493919	128	195	0.01614734
negative regulation of protein kinase activity	245	1.284006E-35	5.4714378122449E-34	2.3985	261	0.02275303	92	1.70807024347826E-08	1.543421	118	174	0.01488583
apoptotic signaling pathway	254	1.538232E-33	6.32249688188976E-32	2.06798	338	0.02946561	171	2.31352292631579E-05	1.334976	166	283	0.02094109
transforming growth factor beta receptor signaling pathway	267	2.934789E-32	1.1475354741573E-30	2.55387	209	0.01821986	195	7.0504104E-05	1.481136	82	126	0.01034439
transmembrane receptor protein serine/threonine kinase signaling pathway	291	5.068399E-30	1.8183534556701E-28	2.149703	275	0.0239735	215	0.000191125322791	1.372761	114	189	0.01438123
