Term Name 	 Binom Rank 	 Binom Raw P-Value 	  Binom FDR Q-Val  	 Binom Fold Enrichment 	 Binom Observed Region Hits 	 Binom Region Set Coverage 	 Hyper Rank 	  Hyper FDR Q-Val  	 Hyper Fold Enrichment 	 Hyper Observed Gene Hits 	 Hyper Total Genes 	 Hyper Gene Set Coverage
translation	179	7.941566E-48	4.63184072849162E-46	2.058288	497	0.02774057	71	1.62814887887324E-21	1.307937	330	361	0.02617178
mRNA catabolic process	253	5.379583E-33	2.21987535652174E-31	2.242616	278	0.01551686	73	2.84108010410959E-21	1.399867	181	185	0.01435483
nuclear-transcribed mRNA catabolic process	254	9.859441E-33	4.0524631511811E-31	2.292855	263	0.01467962	82	1.06554917853659E-19	1.397911	170	174	0.01348243
RNA splicing, via transesterification reactions	256	1.567639E-32	6.393027796875E-31	2.133915	306	0.01707971	108	8.90519723333333E-13	1.313863	191	208	0.01514791
mRNA splicing, via spliceosome	257	2.855222E-32	1.15986450116732E-30	2.144472	300	0.01674481	116	3.3126111E-12	1.310982	186	203	0.01475137
RNA catabolic process	261	5.006793E-32	2.0027172E-30	2.11299	308	0.01719134	81	1.02685184888889E-19	1.370062	203	212	0.01609961
macromolecular complex disassembly	288	1.961641E-29	7.110948625E-28	2.448897	206	0.0114981	186	4.57790070967742E-08	1.312466	122	133	0.009675629
proteasome-mediated ubiquitin-dependent protein catabolic process	291	2.835649E-29	1.01732562061856E-27	2.034358	307	0.01713552	154	5.25317343896104E-10	1.290673	175	194	0.01387898
proteasomal protein catabolic process	296	4.52741E-29	1.59682974324324E-27	2.010213	314	0.01752623	156	5.59119219230769E-10	1.287004	179	199	0.01419621
Ras protein signal transduction	301	2.379235E-28	8.25223036544851E-27	2.059299	288	0.01607502	342	0.000773067957895	1.216183	119	140	0.009437703
protein complex disassembly	303	8.820568E-28	3.0391660039604E-26	2.453764	193	0.01077249	195	2.26709364923077E-07	1.306876	116	127	0.009199778
establishment of protein localization to membrane	345	4.17881E-25	1.26454424347826E-23	2.003489	271	0.01512614	163	1.68097450306748E-09	1.290833	166	184	0.0131652
intrinsic apoptotic signaling pathway	350	1.771904E-24	5.28533650285714E-23	2.05692	247	0.01378656	237	1.87175412151899E-05	1.261227	119	135	0.009437703
response to topologically incorrect protein	352	2.150171E-24	6.37721171590909E-23	2.148366	222	0.01239116	322	0.000293160517267	1.223584	124	145	0.009834245
translational initiation	354	2.395301E-24	7.06410803389831E-23	2.204665	209	0.01166555	119	6.04112705546218E-12	1.352937	139	147	0.01102387
nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	355	2.42428E-24	7.12943188732394E-23	2.421002	172	0.009600357	107	6.0278189046729E-13	1.394733	116	119	0.009199778
protein targeting to ER	364	4.055746E-24	1.16324143516484E-22	2.401729	173	0.009656173	140	8.06060468571429E-11	1.379243	107	111	0.008486002
response to unfolded protein	365	4.938403E-24	1.41251855671233E-22	2.159103	216	0.01205626	311	0.000235119038585	1.232371	118	137	0.009358395
