Term Name 	 Binom Rank 	 Binom Raw P-Value 	  Binom FDR Q-Val  	 Binom Fold Enrichment 	 Binom Observed Region Hits 	 Binom Region Set Coverage 	 Hyper Rank 	  Hyper FDR Q-Val  	 Hyper Fold Enrichment 	 Hyper Observed Gene Hits 	 Hyper Total Genes 	 Hyper Gene Set Coverage
apoptotic signaling pathway	211	2.2977E-182	1.13687146919431E-180	2.006212	2088	0.02858551	119	1.3866013210084E-08	1.155469	268	283	0.01812525
negative regulation of transferase activity	255	9.549132E-140	3.90952698352941E-138	2.0307	1553	0.02126116	327	0.002316429434862	1.120027	179	195	0.01210605
negative regulation of kinase activity	269	3.938892E-135	1.52870009219331E-133	2.040933	1483	0.02030283	384	0.0070487671875	1.114041	168	184	0.0113621
negative regulation of protein kinase activity	279	5.532926E-132	2.07038521290323E-130	2.055067	1424	0.0194951	399	0.008887174285714	1.114956	159	174	0.01075342
intrinsic apoptotic signaling pathway	332	3.013512E-112	9.47622448192771E-111	2.171252	1063	0.01455287	184	4.06315211086957E-06	1.183988	131	135	0.008859732
mRNA catabolic process	362	4.804855E-104	1.38570956353591E-102	2.101315	1062	0.01453918	99	1.13791781818182E-09	1.193759	181	185	0.01224131
transforming growth factor beta receptor signaling pathway	375	7.799347E-100	2.1713382048E-98	2.057141	1072	0.01467609	347	0.00364779015562	1.142671	118	126	0.007980522
nuclear-transcribed mRNA catabolic process	383	4.143202E-98	1.12937412219321E-96	2.112683	988	0.01352609	97	8.50418075876289E-10	1.199104	171	174	0.01156499
translational initiation	405	7.417302E-90	1.91201562666667E-88	2.178537	842	0.0115273	177	3.49785652881356E-06	1.178639	142	147	0.009603679
viral life cycle	407	1.870786E-89	4.79877293366093E-88	2.160638	854	0.01169158	202	1.03201467326733E-05	1.171335	144	150	0.009738942
macromolecular complex disassembly	412	1.663133E-87	4.21434672815534E-86	2.242261	769	0.0105279	270	0.000482496973333	1.155923	126	133	0.008521574
ER-nucleus signaling pathway	415	4.871937E-87	1.2256149946988E-85	2.336897	701	0.009596955	225	5.46905664E-05	1.194721	94	96	0.006357365
positive regulation of cellular catabolic process	435	8.562338E-85	2.05496112E-83	2.047374	919	0.01258146	461	0.023369362516269	1.127079	109	118	0.007371838
protein complex disassembly	454	7.528473E-81	1.73121713920705E-79	2.232776	716	0.009802311	302	0.001044613954967	1.152889	120	127	0.008115785
cellular protein complex disassembly	465	1.060418E-78	2.38080944516129E-77	2.354382	623	0.008529106	353	0.003861676147309	1.152355	102	108	0.006898417
nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	482	9.191522E-76	1.99086078174274E-74	2.25788	654	0.008953507	197	8.52428119796954E-06	1.189381	116	119	0.007845259
response to unfolded protein	486	2.752659E-75	5.91311933333333E-74	2.0325	829	0.01134932	173	3.06541271445087E-06	1.184516	133	137	0.008994995
viral gene expression	488	3.657008E-75	7.82359908196721E-74	2.519128	521	0.007132687	228	6.46120152631579E-05	1.194454	93	95	0.006289734
response to topologically incorrect protein	489	3.753112E-75	8.01277899386503E-74	2.012833	848	0.01160944	187	4.6229587315508E-06	1.178067	140	145	0.009468416
translational termination	567	6.054145E-62	1.11473146031746E-60	2.399792	469	0.006420787	295	0.000993942500339	1.179012	86	89	0.005816313
ribosomal subunit	106	2.73287E-58	3.26139674528302E-57	2.033377	637	0.008720771	46	1.396906225E-06	1.184516	133	137	0.008994995
cytosolic ribosome	108	1.343619E-57	1.57377595833333E-56	2.256882	494	0.006763047	73	0.000812379187671	1.169301	92	96	0.006222102
phagocytic vesicle	135	5.821754E-42	5.45519911851852E-41	2.019329	461	0.006311264	128	0.0445064159375	1.146193	62	66	0.004193156
methyltransferase complex	142	2.709133E-41	2.41341777816901E-40	2.027028	449	0.00614698	56	4.35964404464286E-05	1.220141	66	66	0.004463682
large ribosomal subunit	146	1.014226E-39	8.78764308219178E-39	2.200115	355	0.004860084	62	0.000114699039435	1.203872	74	75	0.005004734
histone methyltransferase complex	147	1.740716E-39	1.49796308843537E-38	2.007697	439	0.006010076	60	6.06727944166667E-05	1.220141	64	64	0.004328419
cytosolic large ribosomal subunit	148	9.785137E-39	8.36364750337838E-38	2.470978	272	0.003723783	87	0.004782190005747	1.197119	52	53	0.00351684
cytoplasmic stress granule	174	6.457585E-29	4.69473852011494E-28	2.207306	252	0.003449975	113	0.028471276637168	1.220141	30	30	0.002028946
MLL1 complex	241	7.74954E-17	4.06770460580913E-16	2.023277	172	0.002354745	122	0.039286918360656	1.220141	28	28	0.001893683
phosphatase binding	70	7.641933E-92	4.02620698628571E-90	2.005993	1049	0.01436121	87	0.029900582933333	1.125556	119	129	0.008048154
