Term Name 	 Binom Rank 	 Binom Raw P-Value 	  Binom FDR Q-Val  	 Binom Fold Enrichment 	 Binom Observed Region Hits 	 Binom Region Set Coverage 	 Hyper Rank 	  Hyper FDR Q-Val  	 Hyper Fold Enrichment 	 Hyper Observed Gene Hits 	 Hyper Total Genes 	 Hyper Gene Set Coverage
negative regulation of transferase activity	349	6.421698E-169	1.92098931575931E-167	2.001339	1954	0.02095375	357	0.000268051064874	1.077998	193	195	0.01165177
negative regulation of kinase activity	359	1.24339E-164	3.61587509749304E-163	2.015816	1870	0.02005297	390	0.000567846055385	1.07733	182	184	0.01098768
negative regulation of protein kinase activity	369	4.27614E-159	1.20983473170732E-157	2.023442	1790	0.01919509	437	0.001080166357895	1.07665	172	174	0.01038397
macromolecular complex disassembly	626	9.604567E-79	1.6017840172524E-77	2.018988	884	0.009479588	496	0.003041049919355	1.08098	132	133	0.00796909
protein complex disassembly	671	1.222967E-72	1.90279813412817E-71	2.010266	823	0.008825453	532	0.004552328639098	1.080593	126	127	0.007606858
nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	674	1.425518E-71	2.20807239169139E-70	2.060629	762	0.008171319	425	0.000913735821176	1.089169	119	119	0.007184255
ER-nucleus signaling pathway	691	2.085337E-68	3.15063940376266E-67	2.01325	771	0.008267831	543	0.005163204861878	1.089169	96	96	0.005795702
cellular protein complex disassembly	718	1.709219E-65	2.48527108077994E-64	2.06025	696	0.007463567	474	0.002109435258228	1.089169	108	108	0.006520164
negative regulation of MAP kinase activity	753	2.678056E-61	3.71300194422311E-60	2.001711	699	0.007495737	808	0.045538401386139	1.089169	66	66	0.003984545
viral gene expression	834	1.948902E-55	2.43963271942446E-54	2.105761	556	0.005962275	551	0.005544570315789	1.089169	95	95	0.00573533
translational termination	967	1.443417E-47	1.55835299689762E-46	2.044056	510	0.005468993	596	0.008580849704698	1.089169	89	89	0.005373098
viral transcription	999	6.805634E-46	7.11219409009009E-45	2.07233	475	0.00509367	628	0.011480080012739	1.089169	85	85	0.005131611
positive regulation of nuclease activity	1038	5.914497E-44	5.94868484393064E-43	2.029846	478	0.00512584	796	0.042426625477387	1.089169	67	67	0.004044917
activation of signaling protein activity involved in unfolded protein response	1051	4.357135E-43	4.32811507136061E-42	2.033587	466	0.004997158	832	0.048183824855769	1.089169	65	65	0.003924173
catalytic step 2 spliceosome	140	2.592467E-48	2.34247911071429E-47	2.02746	529	0.00567274	105	0.01392297552381	1.089169	79	79	0.004769379
