Term Name 	 Binom Rank 	 Binom Raw P-Value 	  Binom FDR Q-Val  	 Binom Fold Enrichment 	 Binom Observed Region Hits 	 Binom Region Set Coverage 	 Hyper Rank 	  Hyper FDR Q-Val  	 Hyper Fold Enrichment 	 Hyper Observed Gene Hits 	 Hyper Total Genes 	 Hyper Gene Set Coverage
transcription from RNA polymerase II promoter	138	3.022311E-87	2.28644397391304E-85	2.086835	878	0.05607357	158	1.49859328101266E-06	1.264239	292	506	0.03545841
blood vessel morphogenesis	164	1.143747E-75	7.28092602439025E-74	2.083676	765	0.04885681	177	7.88498989830508E-06	1.297328	212	358	0.02574378
negative regulation of protein modification process	227	2.131163E-54	9.80147212334802E-53	2.016737	594	0.03793588	194	1.35888170103093E-05	1.287981	214	364	0.02598664
angiogenesis	228	6.632262E-54	3.03687786315789E-52	2.05979	559	0.0357006	279	0.000288860954839	1.287278	161	274	0.0195507
negative regulation of phosphorylation	230	1.063578E-53	4.82771926956522E-52	2.19544	481	0.03071912	298	0.00043273169396	1.298235	144	243	0.01748634
negative regulation of phosphate metabolic process	235	1.888074E-53	8.38786917446808E-52	2.074299	545	0.03480649	447	0.005213794389262	1.226234	164	293	0.019915
apoptotic signaling pathway	245	1.3599E-50	5.79483918367347E-49	2.142508	478	0.03052753	161	1.65186024596273E-06	1.354717	175	283	0.02125076
negative regulation of kinase activity	248	5.911222E-50	2.48843377741935E-48	2.394665	373	0.02382169	271	0.000221022003985	1.357326	114	184	0.01384335
negative regulation of transferase activity	251	3.111118E-49	1.29402676972112E-47	2.342361	384	0.0245242	268	0.000207271981343	1.348167	120	195	0.01457195
transforming growth factor beta receptor signaling pathway	260	1.953471E-47	7.8439374E-46	2.640824	295	0.01884021	227	6.77270854625551E-05	1.460514	84	126	0.01020036
negative regulation of protein phosphorylation	261	3.107922E-47	1.2431688E-45	2.147948	443	0.02829225	341	0.000991929811144	1.291503	135	229	0.01639344
placenta development	268	5.778831E-46	2.25115655373134E-44	2.492754	317	0.02024524	174	6.775308E-06	1.487166	93	137	0.01129326
negative regulation of protein kinase activity	269	6.759604E-46	2.62342995390335E-44	2.363041	351	0.02241666	319	0.000575080036364	1.347198	107	174	0.01299332
response to hypoxia	273	4.128107E-45	1.5786606989011E-43	2.162893	416	0.02656789	315	0.000539789097143	1.308515	132	221	0.01602914
response to oxygen levels	280	5.010693E-44	1.86827267571429E-42	2.100381	434	0.02771746	371	0.001720905399461	1.275639	138	237	0.01675774
response to decreased oxygen levels	287	5.684327E-43	2.06774821881533E-41	2.116102	416	0.02656789	352	0.001199992581818	1.29099	132	224	0.01602914
embryonic placenta development	294	1.134324E-41	4.02800767346939E-40	2.76855	238	0.0151999	159	1.58586029433962E-06	1.649522	64	85	0.007771706
positive regulation of organelle organization	297	6.578275E-41	2.31236333333333E-39	2.046878	428	0.02733427	212	3.28039672075472E-05	1.33541	153	251	0.01857923
positive regulation of cellular catabolic process	305	2.504554E-39	8.57296516721312E-38	2.598185	250	0.01596628	413	0.003445920435835	1.373873	74	118	0.008986035
transmembrane receptor protein serine/threonine kinase signaling pathway	308	8.17754E-39	2.77186745454545E-37	2.124637	371	0.02369396	517	0.011375959125725	1.263461	109	189	0.01323619
anchoring junction	39	3.42853E-41	1.11207447435897E-39	2.06084	424	0.02707881	26	1.35798966346154E-07	1.433592	142	217	0.01724347
adherens junction	44	4.034487E-38	1.1599150125E-36	2.052998	395	0.02522672	29	5.07066089655172E-06	1.402094	128	200	0.01554341
cell-substrate junction	56	1.579492E-29	3.56795960714286E-28	2.137054	275	0.01756291	66	0.008495968083333	1.311377	85	142	0.0103218
ribosome	59	1.188574E-28	2.54838323728814E-27	2.19006	252	0.01609401	87	0.037678403045977	1.208363	123	223	0.01493625
focal adhesion	63	2.601499E-26	5.22364481746032E-25	2.123374	247	0.01577468	75	0.015681078306667	1.304429	78	131	0.009471767
cell-substrate adherens junction	66	1.826706E-25	3.5011865E-24	2.085113	249	0.01590241	76	0.01634431931579	1.298235	80	135	0.009714633
extracellular vesicular exosome	67	3.595475E-25	6.78847145522388E-24	2.504168	167	0.01066547	84	0.033133678154762	1.372883	47	75	0.005707347
extracellular membrane-bounded organelle	68	3.784215E-25	7.03975290441177E-24	2.487117	169	0.0107932	85	0.034591038058824	1.365675	48	77	0.00582878
histone acetyltransferase complex	80	1.092286E-20	1.7271772375E-19	2.422519	144	0.009196577	54	0.002990204657407	1.470123	51	76	0.006193078
midbody	90	2.469597E-18	3.47115578333333E-17	2.103039	171	0.01092093	34	9.3889565E-05	1.495623	71	104	0.008621736
endoplasmic reticulum-Golgi intermediate compartment	103	2.143119E-14	2.63208304368932E-13	2.206968	117	0.007472219	77	0.016317249785714	1.437694	42	64	0.005100182
cortical cytoskeleton	104	2.539062E-14	3.08837829807692E-13	2.201213	117	0.007472219	67	0.009148066514925	1.485269	40	59	0.004857316
methyltransferase complex	132	1.979561E-11	1.89707929166667E-10	2.106016	100	0.006386512	48	0.001732892929167	1.526901	46	66	0.005585914
cortical actin cytoskeleton	142	1.254683E-10	1.11772816549296E-09	2.337871	73	0.004662154	70	0.009936453921429	1.62743	26	35	0.003157256
histone methyltransferase complex	144	2.017435E-10	1.77226060763889E-09	2.04811	96	0.006131051	57	0.003468254938597	1.506155	44	64	0.005343048
cytoplasmic stress granule	151	2.344918E-09	1.96445117218543E-08	2.410807	59	0.003768042	30	1.880646405E-05	1.971694	27	30	0.003278689
basal part of cell	161	9.34788E-09	7.34476285714286E-08	2.169637	68	0.004342828	79	0.017947755949367	1.582224	26	36	0.003157256
Cul4-RING ubiquitin ligase complex	245	2.132074E-05	0.000110084637143	2.307164	32	0.002043684	43	0.000664099405814	1.982126	19	21	0.002307225
desmosome	272	7.328666E-05	0.00034083685625	2.052002	36	0.002299144	78	0.016570851282051	1.773481	17	21	0.002064359
kinase binding	32	1.592101E-67	1.8348964025E-65	2.034173	723	0.04617448	12	1.09180074466667E-07	1.326952	255	421	0.03096539
regulatory region DNA binding	33	2.321521E-65	2.59447559030303E-63	2.014083	717	0.04579129	55	0.000805784414545	1.241636	208	367	0.02525804
transcription regulatory region DNA binding	34	2.910868E-65	3.15743564235294E-63	2.025562	706	0.04508877	58	0.000935467558621	1.241437	204	360	0.02477231
protein kinase binding	38	4.8825E-58	4.7385947368421E-56	2.003065	645	0.041193	21	1.2343997672381E-06	1.317931	228	379	0.0276867
sequence-specific DNA binding RNA polymerase II transcription factor activity	49	6.480183E-50	4.8773295722449E-48	2.012759	547	0.03493422	71	0.010833089645071	1.23582	154	273	0.01870067
transcription corepressor activity	54	2.328375E-41	1.59019388888889E-39	2.132126	393	0.02509899	53	0.000270513686642	1.352466	121	196	0.01469338
RNA polymerase II core promoter proximal region sequence-specific DNA binding transcription factor activity	60	3.614858E-34	2.22193271733333E-32	2.329104	266	0.01698812	78	0.018406945117949	1.369232	65	104	0.007893139
protein kinase inhibitor activity	63	7.062773E-30	4.13452489269841E-28	3.155189	137	0.008749521	70	0.010784544434286	1.541654	38	54	0.004614451
kinase inhibitor activity	68	1.391094E-27	7.54463922352941E-26	2.967043	138	0.008813386	82	0.019182466360976	1.498949	39	57	0.004735883
phosphatase binding	70	1.955053E-27	1.03003363771429E-25	2.176667	244	0.01558309	57	0.00089456128	1.409566	83	129	0.01007893
protein tyrosine kinase activity	71	7.630542E-27	3.96358294309859E-25	2.042249	277	0.01769064	76	0.016619947736842	1.314463	87	145	0.01056466
kinase regulator activity	77	2.393237E-25	1.14626728E-23	2.136498	234	0.01494444	92	0.038322897930435	1.301285	79	133	0.0095932
protein kinase regulator activity	78	3.312741E-25	1.56633189846154E-23	2.251441	207	0.01322008	64	0.0065331364125	1.388792	71	112	0.008621736
RNA polymerase II core promoter proximal region sequence-specific DNA binding transcription factor activity involved in negative regulation of transcription	85	1.519223E-22	6.59164049882353E-21	2.952535	112	0.007152893	81	0.019308847269136	1.659675	25	33	0.003035823
RNA polymerase II transcription regulatory region sequence-specific DNA binding transcription factor activity involved in negative regulation of transcription	86	2.867071E-21	1.22950672651163E-19	2.807029	114	0.007280623	87	0.023308299889655	1.62743	26	35	0.003157256
protein serine/threonine kinase inhibitor activity	93	7.754643E-19	3.07517455741936E-17	3.402042	75	0.004789884	96	0.045153106	1.685209	20	26	0.002428658
protein phosphatase binding	94	1.300375E-18	5.10189680851064E-17	2.162269	163	0.01041001	63	0.005742774468571	1.443917	58	88	0.007043109
small conjugating protein binding	109	7.288217E-15	2.46595819229358E-13	2.154811	128	0.008174735	94	0.040306622808511	1.402094	48	75	0.00582878
SMAD binding	113	2.49332E-14	8.13749040707965E-13	2.011373	145	0.009260442	72	0.012223630133333	1.495288	43	63	0.005221615
RNA polymerase II transcription factor binding transcription factor activity involved in negative regulation of transcription	120	1.521042E-13	4.67466908E-12	2.49536	85	0.005428535	79	0.018234816486076	1.72132	22	28	0.002671524
