Term Name 	 Binom Rank 	 Binom Raw P-Value 	  Binom FDR Q-Val  	 Binom Fold Enrichment 	 Binom Observed Region Hits 	 Binom Region Set Coverage 	 Hyper Rank 	  Hyper FDR Q-Val  	 Hyper Fold Enrichment 	 Hyper Observed Gene Hits 	 Hyper Total Genes 	 Hyper Gene Set Coverage
macromolecular complex disassembly	522	1.231006E-39	2.462012E-38	2.091888	397	0.00982187	408	0.001479253579412	1.123804	128	133	0.00828479
protein complex disassembly	558	8.823858E-37	1.65091536774194E-35	2.085077	370	0.009153884	439	0.002807289840547	1.12173	122	127	0.00789644
ER-nucleus signaling pathway	580	3.688413E-34	6.6391434E-33	2.078399	345	0.008535379	310	0.000190756446968	1.155539	95	96	0.006148867
viral gene expression	586	7.851529E-34	1.39880482525597E-32	2.324247	266	0.006580901	503	0.006455674664016	1.130827	92	95	0.005954693
cellular protein complex disassembly	602	7.656118E-33	1.32773873621262E-31	2.130746	312	0.007718951	591	0.018572918984772	1.113642	103	108	0.006666667
cellular response to topologically incorrect protein	610	4.91578E-32	8.41323659016393E-31	2.12745	305	0.007545769	337	0.00031445961543	1.15501	91	92	0.005889968
endoplasmic reticulum unfolded protein response	611	6.186743E-32	1.0571128792144E-30	2.161634	293	0.007248887	386	0.000758643696373	1.153965	84	85	0.005436893
cellular response to unfolded protein	627	5.502184E-31	9.16153125358852E-30	2.128812	294	0.007273627	375	0.000675605808	1.154124	85	86	0.005501618
nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	631	8.746353E-31	1.44709865800317E-29	2.033897	326	0.008065314	355	0.000412422936338	1.138264	116	119	0.007508091
regulation of nuclease activity	646	8.462396E-30	1.36760703157895E-28	2.237937	252	0.006234537	460	0.003580102956522	1.151706	72	73	0.004660194
positive regulation of nuclease activity	652	1.534702E-29	2.45740626993865E-28	2.30234	235	0.005813953	388	0.000812207245361	1.167702	67	67	0.00433657
activation of signaling protein activity involved in unfolded protein response	655	2.807446E-29	4.47476889160305E-28	2.315641	230	0.005690252	399	0.001078253404511	1.167702	65	65	0.00420712
translational termination	660	4.919184E-29	7.78125469090909E-28	2.24696	243	0.006011875	558	0.012322221612903	1.128342	86	89	0.005566343
viral transcription	673	1.569815E-28	2.43519592867756E-27	2.294916	228	0.005640772	593	0.018991891669477	1.126489	82	85	0.005307443
translational elongation	709	1.017387E-26	1.49809877009873E-25	2.00424	291	0.007199406	631	0.032302915245642	1.1057	107	113	0.006925566
positive regulation of mitochondrion organization	824	2.995596E-23	3.79539104854369E-22	2.125581	217	0.005368629	484	0.004921881917355	1.167702	54	54	0.003495146
intrinsic apoptotic signaling pathway in response to DNA damage	961	3.322361E-19	3.6093078917794E-18	2.05116	192	0.004750124	519	0.007318755815029	1.167702	51	51	0.003300971
nucleotide-binding domain, leucine rich repeat containing receptor signaling pathway	966	4.171622E-19	4.50846104347826E-18	2.055156	190	0.004700643	579	0.016675260248705	1.167702	45	45	0.002912621
regulation of DNA-dependent transcription in response to stress	1069	3.159423E-17	3.08553565201123E-16	2.019726	177	0.00437902	612	0.025148851176471	1.167702	42	42	0.002718447
regulation of transcription from RNA polymerase II promoter in response to stress	1085	5.801432E-17	5.58220738064516E-16	2.084148	161	0.003983177	690	0.04851436226087	1.167702	37	37	0.002394822
melanosome	96	1.236461E-35	1.62929496354167E-34	2.001822	396	0.00979713	102	0.004374660205882	1.130435	91	94	0.005889968
cytosolic ribosome	111	8.801611E-29	1.00306647882883E-27	2.163074	262	0.00648194	133	0.037095535300752	1.106884	91	96	0.005889968
large ribosomal subunit	138	2.602579E-19	2.38569741666667E-18	2.083138	186	0.004601682	113	0.008985415902655	1.136564	73	75	0.004724919
nucleolar part	156	2.847683E-17	2.30917884294872E-16	2.505991	111	0.002746165	137	0.040396177591241	1.167702	35	35	0.002265372
structural constituent of ribosome	82	6.779632E-40	3.04918083121951E-38	2.063779	413	0.01021771	58	2.74409709517241E-05	1.138326	155	159	0.01003236
kinase inhibitor activity	117	1.664956E-22	5.2481689982906E-21	2.007251	241	0.005962395	118	0.047377485694915	1.147216	56	57	0.003624595
