Term Name 	 Binom Rank 	 Binom Raw P-Value 	  Binom FDR Q-Val  	 Binom Fold Enrichment 	 Binom Observed Region Hits 	 Binom Region Set Coverage 	 Hyper Rank 	  Hyper FDR Q-Val  	 Hyper Fold Enrichment 	 Hyper Observed Gene Hits 	 Hyper Total Genes 	 Hyper Gene Set Coverage
intrinsic apoptotic signaling pathway	427	5.677373E-90	1.38809775456674E-88	2.096212	921	0.01404991	185	3.72011398054054E-06	1.161378	133	135	0.008690538
response to topologically incorrect protein	529	1.42388E-68	2.81007697542533E-67	2.020709	764	0.01165487	500	0.015197649984	1.105673	136	145	0.008886566
liver development	536	5.916594E-67	1.15241121940299E-65	2.001358	764	0.01165487	338	0.002153679028402	1.15205	86	88	0.005619446
response to unfolded protein	538	7.458589E-67	1.44735444535316E-65	2.024384	741	0.011304	395	0.005163594926582	1.118609	130	137	0.008494511
ER-nucleus signaling pathway	619	2.745113E-56	4.62988363812601E-55	2.102503	566	0.008634367	486	0.012681672074074	1.129724	92	96	0.0060115
signal transduction in response to DNA damage	680	8.702226E-50	1.33604763882353E-48	2.024374	547	0.00834452	344	0.00231675345	1.143477	97	100	0.006338212
cellular response to topologically incorrect protein	744	4.660695E-45	6.5400075E-44	2.051579	477	0.007276666	526	0.019313476015209	1.127588	88	92	0.005750131
endoplasmic reticulum unfolded protein response	746	6.259389E-45	8.75978835924933E-44	2.083485	458	0.00698682	483	0.012416335229814	1.137236	82	85	0.005358076
cellular response to unfolded protein	758	1.258259E-43	1.73301107651715E-42	2.0538	460	0.00701733	473	0.011108764769556	1.13772	83	86	0.005423419
positive regulation of cell cycle arrest	793	3.045558E-41	4.00953663556116E-40	2.027426	448	0.006834269	503	0.015513530743539	1.136233	80	83	0.005227392
positive regulation of mitochondrion organization	844	1.390682E-38	1.72022749763033E-37	2.162277	358	0.005461313	563	0.027066543730018	1.157012	53	54	0.003463147
activation of signaling protein activity involved in unfolded protein response	901	8.197062E-36	9.49803854384018E-35	2.129354	343	0.005232487	430	0.006831800037209	1.160706	64	65	0.004181913
positive regulation of nuclease activity	913	2.785996E-35	3.18573912814896E-34	2.102283	348	0.005308763	398	0.005455479708543	1.161247	66	67	0.004312598
regulation of nuclease activity	954	1.060095E-33	1.16010396226415E-32	2.015141	368	0.005613864	644	0.04408675826087	1.130397	70	73	0.004573968
intrinsic apoptotic signaling pathway in response to DNA damage	992	1.853906E-32	1.95108655645161E-31	2.101355	319	0.004866366	616	0.038537497402598	1.155728	50	51	0.00326712
termination of RNA polymerase II transcription	1414	2.784163E-20	2.05563378500707E-19	2.012735	214	0.003264584	478	0.011164741305439	1.178842	46	46	0.00300575
cell-substrate junction	73	1.394512E-112	2.41651736986301E-111	2.11054	1137	0.01734501	77	0.001789460785714	1.12073	135	142	0.008821223
focal adhesion	75	1.3927E-107	2.34902066666667E-106	2.145834	1045	0.01594154	78	0.001852073525641	1.124849	125	131	0.008167799
cell-substrate adherens junction	76	3.6774E-105	6.12093552631579E-104	2.114247	1057	0.0161246	72	0.001232220511806	1.126449	129	135	0.008429169
melanosome	105	1.83623E-61	2.21221995238095E-60	2.051004	658	0.01003783	109	0.030789914311927	1.116138	89	94	0.005815473
coated pit	133	3.221762E-43	3.06430746616541E-42	2.058418	453	0.006910544	70	0.001080750762143	1.178842	59	59	0.003855201
Golgi-associated vesicle membrane	179	8.35379E-26	5.90365606145251E-25	2.11862	245	0.003737491	110	0.0305899195	1.178842	36	36	0.002352326
ribonucleoprotein complex binding	136	2.178522E-37	5.90763907058824E-36	2.134162	357	0.005446058	78	0.024291579384615	1.159517	60	61	0.003920544
cell-substrate junction	73	1.394512E-112	2.41651736986301E-111	2.11054	1137	0.01734501	77	0.001789460785714	1.12073	135	142	0.008821223
focal adhesion	75	1.3927E-107	2.34902066666667E-106	2.145834	1045	0.01594154	78	0.001852073525641	1.124849	125	131	0.008167799
cell-substrate adherens junction	76	3.6774E-105	6.12093552631579E-104	2.114247	1057	0.0161246	72	0.001232220511806	1.126449	129	135	0.008429169
melanosome	105	1.83623E-61	2.21221995238095E-60	2.051004	658	0.01003783	109	0.030789914311927	1.116138	89	94	0.005815473
coated pit	133	3.221762E-43	3.06430746616541E-42	2.058418	453	0.006910544	70	0.001080750762143	1.178842	59	59	0.003855201
Golgi-associated vesicle membrane	179	8.35379E-26	5.90365606145251E-25	2.11862	245	0.003737491	110	0.0305899195	1.178842	36	36	0.002352326
ribonucleoprotein complex binding	136	2.178522E-37	5.90763907058824E-36	2.134162	357	0.005446058	78	0.024291579384615	1.159517	60	61	0.003920544
