Term Name 	 Binom Rank 	 Binom Raw P-Value 	  Binom FDR Q-Val  	 Binom Fold Enrichment 	 Binom Observed Region Hits 	 Binom Region Set Coverage 	 Hyper Rank 	  Hyper FDR Q-Val  	 Hyper Fold Enrichment 	 Hyper Observed Gene Hits 	 Hyper Total Genes 	 Hyper Gene Set Coverage
protein localization to endoplasmic reticulum	491	2.810526E-57	5.97594530346232E-56	2.108575	572	0.009657268	225	1.690113504E-05	1.170512	122	125	0.008110084
macromolecular complex disassembly	498	5.881251E-56	1.23293695662651E-54	2.078406	578	0.009758568	238	3.01463729243697E-05	1.163226	129	133	0.008575417
protein targeting to ER	513	9.010271E-55	1.83366918596491E-53	2.162641	515	0.008694918	229	1.98977099737991E-05	1.177686	109	111	0.007245895
establishment of protein localization to endoplasmic reticulum	526	1.536495E-53	3.04962125475285E-52	2.137084	517	0.008728685	226	1.70842515929204E-05	1.177879	110	112	0.007312371
protein complex disassembly	547	5.749188E-52	1.09728560731261E-50	2.07283	539	0.009100118	251	7.16307117131474E-05	1.161522	123	127	0.008176561
cellular protein complex disassembly	549	6.71344E-52	1.27665416393443E-50	2.195091	471	0.007952051	278	0.000200702503165	1.165982	105	108	0.006979991
viral gene expression	552	9.408417E-52	1.77941799782609E-50	2.373222	398	0.006719568	235	2.69342359659574E-05	1.186671	94	95	0.006248754
SRP-dependent cotranslational protein targeting to membrane	603	1.334742E-45	2.31089659701493E-44	2.083299	465	0.007850751	239	3.13055674644351E-05	1.177086	106	108	0.007046467
cotranslational protein targeting to membrane	621	3.137979E-44	5.27544295652174E-43	2.04567	471	0.007952051	230	2.33762811652174E-05	1.17749	108	110	0.007179419
translational termination	626	8.70593E-44	1.45191548242812E-42	2.284295	362	0.006111768	250	7.121921616E-05	1.18582	88	89	0.005849897
nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	629	1.089921E-43	1.80902627027027E-42	2.026623	476	0.008036468	178	5.47626915505618E-07	1.189217	118	119	0.00784418
viral transcription	637	1.798289E-43	2.94727427943485E-42	2.342291	341	0.005757218	268	0.000132062104478	1.185186	84	85	0.005583993
translational elongation	657	7.090067E-42	1.12664078356164E-40	2.058663	438	0.007394901	222	1.47349548648649E-05	1.178069	111	113	0.007378847
positive regulation of cell cycle arrest	748	5.606713E-36	7.82541226203209E-35	2.003416	400	0.006753334	505	0.021550702811881	1.141498	79	83	0.005251612
regulation of DNA repair	764	6.014523E-35	8.21879844502618E-34	2.059441	362	0.006111768	570	0.043506721894737	1.157215	55	57	0.003656186
apoptotic mitochondrial changes	783	4.332699E-34	5.776932E-33	2.142178	321	0.005419551	395	0.003540534379747	1.199295	49	49	0.003257329
regulation of viral transcription	815	9.33092E-32	1.19527367852761E-30	2.105906	310	0.005233834	360	0.00210098446	1.181395	66	67	0.004387423
negative regulation of epidermal growth factor receptor signaling pathway	825	3.386818E-31	4.28586423272727E-30	2.124372	298	0.005031234	465	0.012922151535484	1.199295	41	41	0.00272552
negative regulation of ERBB signaling pathway	831	6.472062E-31	8.13096597833935E-30	2.10094	303	0.005115651	451	0.011104217800444	1.199295	42	42	0.002791996
positive regulation of nuclease activity	886	9.778512E-29	1.15223098510158E-27	2.032497	304	0.005132534	360	0.00210098446	1.181395	66	67	0.004387423
structural constituent of ribosome	81	1.190676E-54	5.42125072592593E-53	2.032422	596	0.01006247	38	1.40751646526316E-07	1.176667	156	159	0.01037027
ribonucleoprotein complex binding	95	3.31584E-43	1.28724399157895E-41	2.309026	349	0.005892284	105	0.045608301790476	1.159974	59	61	0.00392209
cytosolic ribosome	121	3.158635E-33	3.30220931818182E-32	2.022642	359	0.006061118	81	0.000532902801852	1.161817	93	96	0.006182277
catalytic step 2 spliceosome	133	1.061387E-31	1.00951470300752E-30	2.033516	337	0.005689684	75	0.000159597392533	1.184114	78	79	0.005185136
large ribosomal subunit	138	1.440738E-30	1.3206765E-29	2.155306	282	0.004761101	76	0.000311281046711	1.183305	74	75	0.004919232
cytosolic large ribosomal subunit	163	1.073927E-23	8.3344641411043E-23	2.22944	199	0.003359784	111	0.008540590518018	1.176667	52	53	0.003456757
transcription elongation factor complex	217	1.50911E-16	8.79734631336405E-16	2.141413	147	0.00248185	132	0.028411689166667	1.199295	32	32	0.002127235
