Term Name 	 Binom Rank 	 Binom Raw P-Value 	  Binom FDR Q-Val  	 Binom Fold Enrichment 	 Binom Observed Region Hits 	 Binom Region Set Coverage 	 Hyper Rank 	  Hyper FDR Q-Val  	 Hyper Fold Enrichment 	 Hyper Observed Gene Hits 	 Hyper Total Genes 	 Hyper Gene Set Coverage
negative regulation of kinase activity	398	9.572214E-206	2.51090236582915E-204	2.078775	2170	0.02067927	333	0.000902395664865	1.081729	181	184	0.01103255
negative regulation of transferase activity	400	2.016717E-205	5.26363137E-204	2.047028	2249	0.02143211	300	0.00041162658	1.082741	192	195	0.01170304
negative regulation of protein kinase activity	417	3.479383E-193	8.71097326618705E-192	2.069394	2060	0.01963101	365	0.001831482049315	1.080699	171	174	0.01042302
establishment of protein localization to membrane	492	1.156691E-153	2.45444187804878E-152	2.068775	1639	0.01561904	274	0.000169263567591	1.087706	182	184	0.0110935
phagocytosis	502	1.88313E-150	3.91631019920319E-149	2.038826	1663	0.01584775	424	0.004805440896226	1.083836	137	139	0.008350603
transforming growth factor beta receptor signaling pathway	510	1.211753E-145	2.48052967058823E-144	2.070432	1550	0.01477091	625	0.042723085824	1.073476	123	126	0.007497257
macromolecular complex disassembly	546	6.129526E-131	1.17201925714286E-129	2.27726	1122	0.01069223	457	0.007290366223195	1.083122	131	133	0.007984884
nuclear-transcribed mRNA catabolic process	568	1.315976E-122	2.41880095774648E-121	2.031749	1365	0.01300793	236	4.99262476271186E-05	1.093339	173	174	0.01054492
response to topologically incorrect protein	570	1.869664E-121	3.42443722105263E-120	2.088426	1264	0.01204544	398	0.003120075316583	1.084491	143	145	0.008716323
protein complex disassembly	580	2.940433E-119	5.2927794E-118	2.257488	1040	0.009910803	490	0.011077274644898	1.082341	125	127	0.007619164
response to unfolded protein	583	2.313243E-118	4.142411135506E-117	2.092313	1226	0.01168331	432	0.00555872	1.083605	135	137	0.008228697
viral life cycle	597	1.017922E-114	1.78008470351759E-113	2.092188	1188	0.01132119	478	0.009155205112971	1.077665	147	150	0.008960137
protein targeting to membrane	604	2.610831E-112	4.51276086754967E-111	2.014048	1277	0.01216932	371	0.002033495320755	1.085094	149	151	0.009082043
cellular protein complex disassembly	641	6.270533E-103	1.02128493790952E-101	2.288591	870	0.008290768	473	0.008855038046512	1.089477	107	108	0.006522004
translational initiation	676	1.339502E-96	2.06869835502959E-95	2.002708	1112	0.01059694	494	0.011153176688259	1.077217	144	147	0.008777277
nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	693	1.599067E-93	2.40898405194805E-92	2.15804	898	0.008557597	404	0.003961134980198	1.090418	118	119	0.007192491
viral gene expression	726	2.536663E-89	3.64776332231405E-88	2.366071	703	0.006699321	560	0.023033753357143	1.088083	94	95	0.005729611
protein localization to endoplasmic reticulum	743	2.020696E-86	2.83930904979812E-85	2.020363	971	0.009253259	379	0.002489722385224	1.090861	124	125	0.00755821
protein targeting to ER	768	6.158761E-81	8.372065734375E-80	2.057379	868	0.008271708	455	0.007086903745055	1.089752	110	111	0.006704864
translational elongation	773	4.572832E-80	6.1759852626132E-79	2.119704	799	0.007614165	437	0.006195879597254	1.089927	112	113	0.006826771
ruffle	79	1.066197E-164	1.7072648164557E-163	2.053122	1790	0.01705802	87	0.016397947816092	1.075579	134	137	0.008167744
melanosome	111	9.750613E-104	1.11121850855856E-102	2.091252	1074	0.01023481	93	0.01831316016129	1.08796	93	94	0.005668658
transcriptional repressor complex	118	8.562271E-92	9.17904475847458E-91	2.159223	880	0.008386064	96	0.024639894010417	1.099659	66	66	0.004022918
ribosomal subunit	130	4.14148E-79	4.02997861538462E-78	2.006441	903	0.008605245	87	0.016397947816092	1.075579	134	137	0.008167744
catalytic step 2 spliceosome	145	1.274856E-64	1.11220195862069E-63	2.13892	628	0.0059846	77	0.008888156142857	1.099659	79	79	0.004815311
